ID;orig_ID;SMILES;y;CAS;NAME;UNITS;smiles_source
0;;c1cc(N2CCCN(c3ccc(C4=NCCCN4)cc3)CC2)ccc1C1=NCCCN1;4500.0;;;nM;Smiles
1;;c1cc(N2CCN(c3ccc(C4=NCCCN4)cc3)CC2)ccc1C1=NCCCN1;3000.0;;;nM;Smiles
2;;c1cc(OCCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1;5200.0;;;nM;Smiles
3;;c1ccc2[nH]c(-c3ccc(OCCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1;54100.0;;;nM;Smiles
4;;c1ccc2[nH]c(-c3ccc(OCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1;10200.0;;;nM;Smiles
5;;CC[C@H](C)[C@@H](N)C(=O)N1CC(=O)N(CCCC(C)Nc2cc(OC)cc3cccnc23)C1(C)C;9800.0;;;nM;Smiles
6;;CC[C@H](C)[C@@H](N)C(=O)N1CC(=O)N(CCCC(C)Nc2cc(OC)cc3cccnc23)C1(C)C;16000.0;;;nM;Smiles
7;;CC[C@H](C)[C@@H](N)C(=O)N1CC(=O)N(CCCC(C)Nc2cc(OC)cc3cccnc23)C1(C)C;27500.0;;;nM;Smiles
8;;CC1=C(C)C(=O)O[C@@H]([C@@](C)(O)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@@]56[C@H](C(=O)C=C[C@@H]6O)[C@H]4C[C@@H](O)[C@]23C)C1;2000.0;;;nM;Smiles
9;;CC1=C(C)C(O)O[C@@H]([C@](C)(O)C2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1;270.0;;;nM;Smiles
10;;Cc1cc(C(=N)N)cc(C)c1OCCN(CCOc1c(C)cc(C(=N)N)cc1C)S(=O)(=O)c1ccccc1.Cl.Cl;1519.0;;;nM;Smiles
11;;Cc1cc(C(=N)N)cc(C)c1OCCOCCOc1c(C)cc(C(=N)N)cc1C.Cl.Cl;175.0;;;nM;Smiles
12;;CCCC/N=C(/N)c1ccc(N2CCN(c3ccc(/C(N)=N\CCCC)cc3)CC2)cc1;91.0;;;nM;Smiles
13;;CCCCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCCCC)cc3)CC2)cc1.Cl.Cl.Cl.Cl;41.0;;;nM;Smiles
14;;CCCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCCC)cc3)CC2)cc1.Cl.Cl.Cl.Cl;83.0;;;nM;Smiles
15;;CCCCNC(=N)c1ccc(N2CCCN(c3ccc(C(=N)NCCCC)cc3)CC2)cc1;357.0;;;nM;Smiles
16;;CCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCC)cc3)CC2)cc1.Cl.Cl.Cl.Cl;1685.0;;;nM;Smiles
17;;Cl.Cl.c1cc(C2=NCCN2)ccc1SCCOCCSc1ccc(C2=NCCN2)cc1;10.0;;;nM;Smiles
18;;Cl.Cl.Cl.Cl.N=C(N)c1ccc(CN2CCN(Cc3ccc(C(=N)N)cc3)CC2)cc1;109.0;;;nM;Smiles
19;;Cl.Cl.Cl.Cl.N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2N)c(N)c1;11.0;;;nM;Smiles
20;;Cl.Cl.N=C(N)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;9150.0;;;nM;Smiles
21;;Cl.Cl.N=C(N)c1ccc(C(=O)NCCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;14330.0;;;nM;Smiles
22;;Cl.Cl.N=C(N)c1ccc(C(=O)NCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;3580.0;;;nM;Smiles
23;;Cl.Cl.N=C(N)c1ccc(C(=O)NCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;2990.0;;;nM;Smiles
24;;Cl.Cl.N=C(N)c1ccc(NC(=O)COCC(=O)Nc2ccc(C(=N)N)cc2)cc1;146.0;;;nM;Smiles
25;;Cl.Cl.N=C(N)c1ccc(NC(=O)CSCC(=O)Nc2ccc(C(=N)N)cc2)cc1;568.0;;;nM;Smiles
26;;Cl.Cl.N=C(N)c1ccc(NCCOCCNc2ccc(C(=N)N)cc2)cc1;1110.0;;;nM;Smiles
27;;Cl.Cl.N=C(N)c1ccc(NCCOCCNc2ccc(C(=N)N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1;62.0;;;nM;Smiles
28;;Cl.Cl.N=C(N)c1ccc(OCCN(CCOc2ccc(C(=N)N)cc2)S(=O)(=O)c2ccccc2)cc1;1330.0;;;nM;Smiles
29;;Cl.Cl.N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2)cc1;2130.0;;;nM;Smiles
30;;Cl.Cl.N=C(N)c1ccc(OCCOCCOc2ccc(C(=N)N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1;14.0;;;nM;Smiles
31;;Cl.Cl.N=C(N)c1ccc(OCCSCCOc2ccc(C(=N)N)cc2)cc1;1180.0;;;nM;Smiles
