SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source
CC1=C(C)C(=O)O[C@@H]([C@@](C)(O)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@@]56[C@H](C(=O)C=C[C@@H]6O)[C@H]4C[C@@H](O)[C@]23C)C1;2000.0;8;;;;nM;Smiles
CC1=C(C)C(O)O[C@@H]([C@](C)(O)C2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@]23C)C1;270.0;9;;;;nM;Smiles
CCCC/N=C(/N)c1ccc(N2CCN(c3ccc(/C(N)=N\CCCC)cc3)CC2)cc1;91.0;12;;;;nM;Smiles
CCCCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCCCC)cc3)CC2)cc1;41.0;13;;;;nM;Smiles
CCCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCCC)cc3)CC2)cc1;83.0;14;;;;nM;Smiles
CCCCNC(=N)c1ccc(N2CCCN(c3ccc(C(=N)NCCCC)cc3)CC2)cc1;357.0;15;;;;nM;Smiles
CCCNC(=N)c1ccc(CN2CCN(Cc3ccc(C(=N)NCCC)cc3)CC2)cc1;1685.0;16;;;;nM;Smiles
CN(C(=O)CCC(=O)N(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;76.0;32;;;;nM;Smiles
CN(C(=O)CCCC(=O)N(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;303.0;33;;;;nM;Smiles
CN(C(=O)CCCCC(=O)N(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;12.0;34;;;;nM;Smiles
CN(CCCCCN(C)c1ccc(C(=N)N)cc1)c1ccc(C(=N)N)cc1;1990.0;35;;;;nM;Smiles
CN(CCOc1ccc(C(=N)N)cc1)CCOc1ccc(C(=N)N)cc1;1730.0;36;;;;nM;Smiles
COc1cc(C(=N)N)cc(Br)c1OCCCCCOc1c(Br)cc(C(=N)N)cc1OC;36.0;37;;;;nM;Smiles
COc1cc(C(=N)N)cc(OC)c1OCCCCCOc1c(OC)cc(C(=N)N)cc1OC;3000.0;38;;;;nM;Smiles
COc1cc(C(=N)N)cc(OC)c1OCCN(C)CCOc1c(OC)cc(C(=N)N)cc1OC;6260.0;39;;;;nM;Smiles
COc1cc(C(=N)N)cc(OC)c1OCCN(CCOc1c(OC)cc(C(=N)N)cc1OC)S(=O)(=O)c1ccc(N)cc1;4160.0;40;;;;nM;Smiles
COc1cc(C(=N)N)cc(OC)c1OCCN(CCOc1c(OC)cc(C(=N)N)cc1OC)S(=O)(=O)c1ccccc1;4400.0;41;;;;nM;Smiles
COc1cc(C(=N)N)cc(OC)c1OCCOCCOc1c(OC)cc(C(=N)N)cc1OC;12990.0;42;;;;nM;Smiles
COc1cc(C(=N)N)ccc1OCCN(C)CCOc1ccc(C(=N)N)cc1OC;3410.0;43;;;;nM;Smiles
COc1cc(C(=N)N)ccc1OCCN(CCOc1ccc(C(=N)N)cc1OC)S(=O)(=O)c1ccc(NC(C)=O)cc1;3710.0;44;;;;nM;Smiles
COc1cc(C(=N)N)ccc1OCCN(CCOc1ccc(C(=N)N)cc1OC)S(=O)(=O)c1ccccc1;2660.0;45;;;;nM;Smiles
COc1cc(C(=N)N)ccc1OCCOCCOc1ccc(C(=N)N)cc1OC;4210.0;46;;;;nM;Smiles
COc1cc(NC(C)CCCN2C(=O)CN(C(C)=O)C2(C)C)c2ncccc2c1;36700.0;82;;;;nM;Smiles
COc1cc(NC(C)CCCN2C(=O)CNC2(C)C)c2ncccc2c1;23000.0;83;;;;nM;Smiles
COc1cc(NC(C)CCCN2C(=O)CNC23CCCCC3)c2ncccc2c1;43000.0;84;;;;nM;Smiles
COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC2(C)C)c2ncccc2c1;40000.0;53;;;;nM;Smiles
COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC23CCCC3)c2ncccc2c1;23000.0;54;;;;nM;Smiles
COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC23CCCCC3)c2ncccc2c1;26000.0;55;;;;nM;Smiles
COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC23CCCCCC3)c2ncccc2c1;6000.0;56;;;;nM;Smiles
COc1cc(NC(C)CCCN2C(=O)[C@H](C)NC23CCC(C)CC3)c2ncccc2c1;23000.0;57;;;;nM;Smiles
COc1cc(NC(C)CCCN2C(=O)[C@H](C)NC23CCCCCC3)c2ncccc2c1;1900.0;58;;;;nM;Smiles
COc1cc(NC(C)CCCN2C(=O)[C@H](CC(C)C)NC23CCCCCC3)c2ncccc2c1;4100.0;59;;;;nM;Smiles
COc1cc(NC(C)CCCN2C(=O)[C@H](Cc3ccccc3)NC2(C)C)c2ncccc2c1;32000.0;60;;;;nM;Smiles
COc1cc(NC(C)CCCN2C(=O)[C@H](Cc3ccccc3)NC23CCCC3)c2ncccc2c1;12000.0;61;;;;nM;Smiles
Cc1cc(C(=N)N)cc(C)c1OCCN(CCOc1c(C)cc(C(=N)N)cc1C)S(=O)(=O)c1ccccc1;1519.0;10;;;;nM;Smiles
Cc1cc(C(=N)N)cc(C)c1OCCOCCOc1c(C)cc(C(=N)N)cc1C;175.0;11;;;;nM;Smiles
N=C(N)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;9150.0;20;;;;nM;Smiles
N=C(N)c1ccc(C(=O)NCCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;14330.0;21;;;;nM;Smiles
N=C(N)c1ccc(C(=O)NCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;3580.0;22;;;;nM;Smiles
N=C(N)c1ccc(C(=O)NCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;2990.0;23;;;;nM;Smiles
N=C(N)c1ccc(CN2CCN(Cc3ccc(C(=N)N)cc3)CC2)cc1;109.0;18;;;;nM;Smiles
N=C(N)c1ccc(COc2ccccc2OCc2ccc(C(=N)N)cc2)cc1;1500.0;[85, 86];[nan, nan];[nan, nan];[nan, nan];nM;Smiles
N=C(N)c1ccc(N2CCCN(c3ccc(C(=N)N)cc3)CC2)cc1;2000.0;87;;;;nM;Smiles
N=C(N)c1ccc(N2CCN(c3ccc(C(=N)N)cc3)CC2)cc1;2600.0;88;;;;nM;Smiles
N=C(N)c1ccc(NC(=O)CCC(=O)Nc2ccc(C(=N)N)cc2)cc1;442.0;94;;;;nM;Smiles
N=C(N)c1ccc(NC(=O)CCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;2.0;[98, 99, 100];[nan, nan, nan];[nan, nan, nan];[nan, nan, nan];nM;Smiles
N=C(N)c1ccc(NC(=O)CCCCC(=O)Nc2cccc(C(=N)N)c2)cc1;2270.0;101;;;;nM;Smiles
N=C(N)c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;2370.0;102;;;;nM;Smiles
N=C(N)c1ccc(NC(=O)CCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;1950.0;103;;;;nM;Smiles
N=C(N)c1ccc(NC(=O)CCCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;2440.0;104;;;;nM;Smiles
N=C(N)c1ccc(NC(=O)CCCCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;4280.0;105;;;;nM;Smiles
N=C(N)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;3070.0;106;;;;nM;Smiles
N=C(N)c1ccc(NC(=O)COCC(=O)Nc2ccc(C(=N)N)cc2)cc1;146.0;24;;;;nM;Smiles
N=C(N)c1ccc(NC(=O)CSCC(=O)Nc2ccc(C(=N)N)cc2)cc1;568.0;25;;;;nM;Smiles
N=C(N)c1ccc(NC(=O)[C@H]2C[C@H]2C(=O)Nc2ccc(C(=N)N)cc2)cc1;5300.0;89;;;;nM;Smiles
N=C(N)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=N)N)cc3)cc2)cc1;22800.0;[90, 91];[nan, nan];[nan, nan];[nan, nan];nM;Smiles
N=C(N)c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C(=N)N)cc3)c2)cc1;1200.0;[92, 93];[nan, nan];[nan, nan];[nan, nan];nM;Smiles
