SAN_SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source;ORIGINAL_SMILES;MOL_OBJECT;SMILES;y_old
C#CCC(N)C(=O)NC(CC#C)C(=O)O.O=C(O)C(F)(F)F;3.12;7407;CHEMBL48272;;;ug.mL-1;Smiles;C#CCC(N)C(=O)NC(CC#C)C(=O)O.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002D3388076A0>;C#CCC(N)C(=O)NC(CC#C)C(=O)O.O=C(O)C(F)(F)F;[3.12]
C#CCC(N)C(=O)N[C@@H](C)C(=O)O.O=C(O)C(F)(F)F;3.12;5040;CHEMBL45920;;;ug.mL-1;Smiles;C#CCC(N)C(=O)N[C@@H](C)C(=O)O.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002D3348547C0>;C#CCC(N)C(=O)N[C@@H](C)C(=O)O.O=C(O)C(F)(F)F;[3.12]
C#CCC(NC(=O)[C@H](C)N)C(=O)O.O=C(O)C(F)(F)F;3.12;2821;CHEMBL45655;;;ug.mL-1;Smiles;C#CCC(NC(=O)[C@H](C)N)C(=O)O.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002D3308A3340>;C#CCC(NC(=O)[C@H](C)N)C(=O)O.O=C(O)C(F)(F)F;[3.12]
C#CCNC(=N)N(C)CCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;16.0;10422;CHEMBL3353628;;;ug.mL-1;Smiles;C#CCNC(=N)N(C)CCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002D33C7DD760>;C#CCNC(=N)N(C)CCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;[16.0]
C#CCNC(=N)NCCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;4.0;7940;CHEMBL3353614;;;ug.mL-1;Smiles;C#CCNC(=N)NCCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002D338822A00>;C#CCNC(=N)NCCCCCCCCNCCCCCCCCNC(=N)N.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;[4.0]
C#CCNC(=N)NCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;32.0;4608;CHEMBL3353625;;;ug.mL-1;Smiles;C#CCNC(=N)NCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002D33289E9A0>;C#CCNC(=N)NCCCCCCN1CCCCCCCCNC(=N)NC1=O.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;[32.0]
C#CC[C@H](N)C(=O)N[C@@H](C)C(=O)O.O=C(O)C(F)(F)F;1.56;11635;CHEMBL45858;;;ug.mL-1;Smiles;C#CC[C@H](N)C(=O)N[C@@H](C)C(=O)O.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002D33F78A3A0>;C#CC[C@H](N)C(=O)N[C@@H](C)C(=O)O.O=C(O)C(F)(F)F;[1.56]
C#CC[C@H](N)C(=O)N[C@@H](CC#C)C(=O)O.O=C(O)C(F)(F)F;0.78;7296;CHEMBL301170;;;ug.mL-1;Smiles;C#CC[C@H](NC(=O)[C@@H](N)CC#C)C(=O)O.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002D3388041C0>;C#CC[C@H](NC(=O)[C@@H](N)CC#C)C(=O)O.O=C(O)C(F)(F)F;[0.78]
C#CC[C@H](NC(=O)[C@@H](N)CCl)C(=O)O.O=C(O)C(F)(F)F;0.05;7622;CHEMBL297658;;;ug.mL-1;Smiles;C#CC[C@H](NC(=O)[C@@H](N)CCl)C(=O)O.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002D338813160>;C#CC[C@H](NC(=O)[C@@H](N)CCl)C(=O)O.O=C(O)C(F)(F)F;[0.05]
C#CC[C@H](NC(=O)[C@H](C)N)C(=O)O.O=C(O)C(F)(F)F;1.56;5773;CHEMBL294963;;;ug.mL-1;Smiles;C#CC[C@H](NC(=O)[C@H](C)N)C(=O)O.O=C(O)C(F)(F)F;<rdkit.Chem.rdchem.Mol object at 0x000002D334879580>;C#CC[C@H](NC(=O)[C@H](C)N)C(=O)O.O=C(O)C(F)(F)F;[1.56]
