SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source
Brc1ccc(CNC2CCCCC2NCc2ccc(Br)cc2)cc1;0.032;6861;CHEMBL1668192;;;ug.mL-1;Smiles
Brc1ccc(CNCC2CCCC(CNCc3ccc(Br)cc3)C2)cc1;0.125;10829;CHEMBL599108;;;ug.mL-1;Smiles
Brc1ccc(CN[C@H]2CCCC[C@@H]2NCc2ccc(Br)cc2)cc1;0.016;9784;CHEMBL1668207;;;ug.mL-1;Smiles
Brc1ccc(Nc2nn3c(-c4ccccc4)nnc3s2)cc1;0.49;7778;CHEMBL1927714;;;ug.mL-1;Smiles
Brc1ccc2c(c1)Sc1cccnc1N2CCCCCCN1c2ccc(Br)cc2Sc2cccnc21;6.25;7537;CHEMBL2298245;;;nM;Smiles
Brc1cccc(CNC2CCCCC2NCc2cccc(Br)c2)c1;0.065;5254;CHEMBL1668191;;;ug.mL-1;Smiles
Brc1cccc(CNCC2CCCC(CNCc3cccc(Br)c3)C2)c1;0.125;10715;CHEMBL598914;;;ug.mL-1;Smiles
Brc1cccc(CN[C@H]2CCCC[C@@H]2NCc2cccc(Br)c2)c1;0.032;[12000, 14643];CHEMBL1668206;[nan, nan];;ug.mL-1;Smiles
C#CCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1;1.0;2568;CHEMBL3581010;;;ug.mL-1;Smiles
C#CCC[n+]1ccc(SCC(=O)O[C@@H]2C[C@@](C)(C=C)[C@@H](O)[C@H](C)[C@]34CCC(=O)[C@H]3[C@@]2(C)[C@H](C)CC4)cc1;0.25;13560;CHEMBL5422067;;;ug.mL-1;Smiles
C#CCN1C(=O)/C(=N\c2ccc(N3C(=O)c4ccc(Cl)cc4C3=O)c(C)c2)c2cc(OC(F)(F)F)ccc21;15.0;12704;CHEMBL2283067;;;ug.mL-1;Smiles
C#CCN1C(=O)/C(=N\c2ccc(N3C(=O)c4ccc(Cl)cc4C3=O)c(C)c2)c2cc([N+](=O)[O-])ccc21;20.0;12705;CHEMBL2283065;;;ug.mL-1;Smiles
C#CCN1C(=O)C2(c3ccccc31)c1c(c3ccccc3oc1=O)Oc1c2c(=O)oc2ccccc12;500.0;11871;CHEMBL4593827;;;nM;Smiles
C#CCN1C(=O)[C@]2(c3ccccc31)[C@H](c1cn(-c3ccccc3)nc1-c1ccccc1)[C@@](C#N)(C(=O)c1c[nH]c3ccccc13)C1CCCN12;125.0;7915;CHEMBL3360434;;;ug.mL-1;Smiles
C#CCN1C(=O)[C@]2(c3ccccc31)[C@H](c1cn(-c3ccccc3)nc1-c1ccccc1)[C@@](C#N)(C(=O)c1c[nH]c3ccccc13)CN2C;250.0;11825;CHEMBL3360426;;;ug.mL-1;Smiles
C#CCN1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1;0.5;11961;CHEMBL2012917;;;ug.mL-1;Smiles
C#CCNC(=O)O[C@H]1[C@@H](O)[C@H](Oc2ccc3c(=O)c(C(=O)OCC)c(O)oc3c2C)OC(C)(C)[C@@H]1OC;20.0;5311;CHEMBL42647;;;ug.mL-1;Smiles
C#CCNCCO/N=C1/[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@H]1C;0.3;9969;CHEMBL132895;;;ug.mL-1;Smiles
C#CCNCc1ccc2c(Br)cc(Br)c(O)c2n1;0.3;2365;CHEMBL4159608;;;nM;Smiles
C#CCNc1ccc(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)ccc1=O;0.25;957;CHEMBL267449;;;ug.mL-1;Smiles
C#CCNc1cccc(-c2ccc(N3CC(CNC(C)=O)OC3=O)cc2)cc1=O;1.0;2404;CHEMBL6792;;;ug.mL-1;Smiles
C#CCNc1nc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1;16.0;13461;CHEMBL2012914;;;ug.mL-1;Smiles
C#CCO/N=C(/C(=O)N[C@H]1CN2CC(S(C)(=O)=O)=C(C(=O)O)N2C1=O)c1csc(N)n1;32.0;5710;CHEMBL111024;;;ug.mL-1;Smiles
C#CCO/N=C/c1cn(C2CCN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)nn1;1.0;8691;CHEMBL1088532;;;ug.mL-1;Smiles
C#CCOC(=O)c1cn(C2CC2)c2cc(N3CCN(CC#C)CC3)c(F)cc2c1=O;1.92;15442;CHEMBL3884193;;;nM;Smiles
C#CCOCCCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1;4.0;7278;CHEMBL3581012;;;ug.mL-1;Smiles
C#CCOCCOCCOCCOCCOCCOCCOc1ccc(-c2nc3ccc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)cc3[nH]2)cc1;16.0;8223;CHEMBL3982047;;;ug.mL-1;Smiles
C#CCOCNC1=CC(=O)c2ccccc2C1=O;32.0;3575;CHEMBL2377047;;;ug.mL-1;Smiles
