ID;orig_ID;SMILES;y;smiles_source;experimental_column;UNITS
0;10;O=C(O)CC(O)(CC(=O)O)C(=O)O;0.0;SMILES;y;class
1;18;c1ccccc1;1.0;SMILES;y;class
2;18;c1ccccc1;1.0;SMILES;y;class
3;51;CC(C)O;0.0;SMILES;y;class
4;51;CC(C)O;0.0;SMILES;y;class
5;69;C=O;1.0;SMILES;y;class
6;69;C=O;1.0;SMILES;y;class
7;122;O=C(O)c1ccccc1;0.0;SMILES;y;class
8;122;O=C(O)c1ccccc1;0.0;SMILES;y;class
9;133;O=C([O-])c1ccccc1.[Na+];0.0;SMILES;y;class
10;133;O=C([O-])c1ccccc1.[Na+];0.0;SMILES;y;class
11;179;c1ccc(-c2ccccc2)cc1;1.0;SMILES;y;class
12;179;c1ccc(-c2ccccc2)cc1;0.0;SMILES;y;class
13;182;CCCCCCCCCC(=O)O;0.0;SMILES;y;class
14;182;CCCCCCCCCC(=O)O;0.0;SMILES;y;class
15;199;CCCCCCCC(=O)O;0.0;SMILES;y;class
16;199;CCCCCCCC(=O)O;0.0;SMILES;y;class
17;245;CC=CC=CC(=O)O;0.0;SMILES;y;class
18;245;CC=CC=CC(=O)O;0.0;SMILES;y;class
19;250;OB(O)O;0.0;SMILES;y;class
20;250;OB(O)O;0.0;SMILES;y;class
21;275;Sc1nc2ccccc2s1;1.0;SMILES;y;class
22;275;Sc1nc2ccccc2s1;1.0;SMILES;y;class
23;48;O=C(O)CC(O)(CC(=O)O)C(=O)O;0.0;SMILES;y;class
24;76;c1ccccc1;1.0;SMILES;y;class
25;76;c1ccccc1;1.0;SMILES;y;class
26;86;ClCc1ccccc1;0.0;SMILES;y;class
27;86;ClCc1ccccc1;0.0;SMILES;y;class
28;222;Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1;0.0;SMILES;y;class
29;222;Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1;0.0;SMILES;y;class
30;231;OCCNCCO;0.0;SMILES;y;class
31;231;OCCNCCO;0.0;SMILES;y;class
32;329;C=O;1.0;SMILES;y;class
33;329;C=O;1.0;SMILES;y;class
34;329;C=O;1.0;SMILES;y;class
35;329;C=O;1.0;SMILES;y;class
36;358;O=C1O[C@H]([C@@H](O)CO)C(O)=C1O;0.0;SMILES;y;class
37;358;O=C1O[C@H]([C@@H](O)CO)C(O)=C1O;0.0;SMILES;y;class
38;370;O=[Mo](=O)=O;0.0;SMILES;y;class
39;443;Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C;0.0;SMILES;y;class
40;443;Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C;0.0;SMILES;y;class
41;507;CC(Cl)(Cl)Cl;0.0;SMILES;y;class
42;507;CC(Cl)(Cl)Cl;0.0;SMILES;y;class
43;507;CC(Cl)(Cl)Cl;0.0;SMILES;y;class
44;507;CC(Cl)(Cl)Cl;0.0;SMILES;y;class
45;535;O=C(O)c1ccccc1;0.0;SMILES;y;class
46;535;O=C(O)c1ccccc1;0.0;SMILES;y;class
47;635;CC(O)CO;0.0;SMILES;y;class
48;635;CC(O)CO;0.0;SMILES;y;class
49;719;OCCN(CCO)CCO;0.0;SMILES;y;class
50;719;OCCN(CCO)CCO;0.0;SMILES;y;class
51;719;OCCN(CCO)CCO;0.0;SMILES;y;class
52;730;c1ccc(-c2ccccc2)cc1;1.0;SMILES;y;class
53;730;c1ccc(-c2ccccc2)cc1;0.0;SMILES;y;class
54;813;CCCCCCCC/C=C\CCCCCCCC(=O)O;0.0;SMILES;y;class
55;823;ClC(Cl)=C(Cl)Cl;1.0;SMILES;y;class
56;823;ClC(Cl)=C(Cl)Cl;1.0;SMILES;y;class
57;913;CC=CC=CC(=O)O;0.0;SMILES;y;class
58;913;CC=CC=CC(=O)O;0.0;SMILES;y;class
59;915;OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO;0.0;SMILES;y;class
60;915;OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO;0.0;SMILES;y;class
61;930;C=CC(=O)O;0.0;SMILES;y;class
62;930;C=CC(=O)O;0.0;SMILES;y;class
63;1034;O=S1(=O)CC=CC1;0.0;SMILES;y;class
64;1034;O=S1(=O)CC=CC1;0.0;SMILES;y;class
65;1072;Sc1nc2ccccc2s1;1.0;SMILES;y;class
66;1072;Sc1nc2ccccc2s1;1.0;SMILES;y;class
67;1081;NC(N)=O;0.0;SMILES;y;class
68;1081;NC(N)=O;0.0;SMILES;y;class
69;1112;CC1CO1;1.0;SMILES;y;class
70;1112;CC1CO1;1.0;SMILES;y;class
