SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source
C=CC(=O)O;0.0;[61, 62];930;[nan, nan];[nan, nan];class;SMILES
C=O;1.0;[32, 33, 34, 35, 5, 6];[329, 69];[nan, nan, nan, nan, nan, nan];[nan, nan, nan, nan, nan, nan];class;SMILES
CC(C)O;0.0;[3, 4];51;[nan, nan];[nan, nan];class;SMILES
CC(Cl)(Cl)Cl;0.0;[41, 42, 43, 44];507;[nan, nan, nan, nan];[nan, nan, nan, nan];class;SMILES
CC(O)CO;0.0;[48, 47];635;[nan, nan];[nan, nan];class;SMILES
CC1CO1;1.0;[69, 70];1112;[nan, nan];[nan, nan];class;SMILES
CC=CC=CC(=O)O;0.0;[17, 18, 58, 57];[913, 245];[nan, nan, nan, nan];[nan, nan, nan, nan];class;SMILES
CCCCCCCC(=O)O;0.0;[16, 15];199;[nan, nan];[nan, nan];class;SMILES
CCCCCCCC/C=C\CCCCCCCC(=O)O;0.0;54;813;;;class;SMILES
CCCCCCCCCC(=O)O;0.0;[13, 14];182;[nan, nan];[nan, nan];class;SMILES
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1;0.0;[28, 29];222;[nan, nan];[nan, nan];class;SMILES
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C;0.0;[40, 39];443;[nan, nan];[nan, nan];class;SMILES
ClC(Cl)=C(Cl)Cl;1.0;[56, 55];823;[nan, nan];[nan, nan];class;SMILES
ClCc1ccccc1;0.0;[26, 27];86;[nan, nan];[nan, nan];class;SMILES
NC(N)=O;0.0;[67, 68];1081;[nan, nan];[nan, nan];class;SMILES
O=C(O)CC(O)(CC(=O)O)C(=O)O;0.0;[0, 23];[48, 10];[nan, nan];[nan, nan];class;SMILES
O=C(O)c1ccccc1;0.0;[8, 45, 46, 7];[122, 535];[nan, nan, nan, nan];[nan, nan, nan, nan];class;SMILES
O=C([O-])c1ccccc1;0.0;[9, 10];133;[nan, nan];[nan, nan];class;SMILES
O=C1O[C@H]([C@@H](O)CO)C(O)=C1O;0.0;[36, 37];358;[nan, nan];[nan, nan];class;SMILES
O=S1(=O)CC=CC1;0.0;[64, 63];1034;[nan, nan];[nan, nan];class;SMILES
OCCN(CCO)CCO;0.0;[49, 50, 51];719;[nan, nan, nan];[nan, nan, nan];class;SMILES
OCCNCCO;0.0;[30, 31];231;[nan, nan];[nan, nan];class;SMILES
OC[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO;0.0;[59, 60];915;[nan, nan];[nan, nan];class;SMILES
Sc1nc2ccccc2s1;1.0;[65, 66, 21, 22];[1072, 275];[nan, nan, nan, nan];[nan, nan, nan, nan];class;SMILES
c1ccccc1;1.0;[24, 1, 2, 25];[18, 76];[nan, nan, nan, nan];[nan, nan, nan, nan];class;SMILES
