SAN_SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source;ORIGINAL_SMILES;MOL_OBJECT;SMILES
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12;[1, 0];[34, 109];[79, 262];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12', 'C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12'];[<rdkit.Chem.rdchem.Mol object at 0x0000015925051350>, <rdkit.Chem.rdchem.Mol object at 0x00000159250547B0>];['C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12', 'C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12']
CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C;[1, 1];[118, 883];[275, 1865];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C', 'CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C'];[<rdkit.Chem.rdchem.Mol object at 0x0000015925054D60>, <rdkit.Chem.rdchem.Mol object at 0x000001592507F3C0>];['CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C', 'CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C']
CC(=O)OC[C@@H]1NC(=N)N2CCC(O)(O)[C@@]23NC(=N)N[C@@H]13;[1, 1];[771, 1137];[1633, 2400];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CC(=O)OC[C@@H]1NC(=N)N2CCC(O)(O)[C@@]23NC(=N)N[C@@H]13', 'CC(=O)OC[C@@H]1NC(=N)N2CCC(O)(O)[C@@]23NC(=N)N[C@@H]13'];[<rdkit.Chem.rdchem.Mol object at 0x0000015925078970>, <rdkit.Chem.rdchem.Mol object at 0x00000159249FDAC0>];['CC(=O)OC[C@@H]1NC(=N)N2CCC(O)(O)[C@@]23NC(=N)N[C@@H]13', 'CC(=O)OC[C@@H]1NC(=N)N2CCC(O)(O)[C@@]23NC(=N)N[C@@H]13']
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1;[0, 0];[179, 486];[384, 1048];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1', 'CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1'];[<rdkit.Chem.rdchem.Mol object at 0x00000159250596D0>, <rdkit.Chem.rdchem.Mol object at 0x0000015925069E40>];['CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1', 'CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1']
CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cn1;[1, 1];[273, 770];[591, 1631];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cn1', 'CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cn1'];[<rdkit.Chem.rdchem.Mol object at 0x000001592505EB30>, <rdkit.Chem.rdchem.Mol object at 0x0000015925078890>];['CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cn1', 'CC(C)COc1ccc(-c2cn(C)c3cc(C(=O)NS(=O)(=O)C4CC4)c(F)cc23)cn1']
CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl;[0, 0];[741, 911];[1578, 1931];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl', 'CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl'];[<rdkit.Chem.rdchem.Mol object at 0x0000015925077580>, <rdkit.Chem.rdchem.Mol object at 0x00000159249F05F0>];['CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl', 'CC(C)COc1ncc(-c2cn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl']
CC(C)COc1ncc(-c2nn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl;[1, 1];[739, 826];[1576, 1759];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CC(C)COc1ncc(-c2nn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl', 'CC(C)COc1ncc(-c2nn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl'];[<rdkit.Chem.rdchem.Mol object at 0x00000159250773C0>, <rdkit.Chem.rdchem.Mol object at 0x000001592507BEB0>];['CC(C)COc1ncc(-c2nn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl', 'CC(C)COc1ncc(-c2nn(C)c3cc(C(=O)NS(C)(=O)=O)ccc23)cc1Cl']
CC1(C(=O)NCc2ccc(OC(F)(F)F)cc2)c2ccccc2C(=O)N1CCc1ccccn1;[0, 0];[573, 750];[1233, 1597];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CC1(C(=O)NCc2ccc(OC(F)(F)F)cc2)c2ccccc2C(=O)N1CCc1ccccn1', 'CC1(C(=O)NCc2ccc(OC(F)(F)F)cc2)c2ccccc2C(=O)N1CCc1ccccn1'];[<rdkit.Chem.rdchem.Mol object at 0x000001592506E740>, <rdkit.Chem.rdchem.Mol object at 0x0000015925077B30>];['CC1(C(=O)NCc2ccc(OC(F)(F)F)cc2)c2ccccc2C(=O)N1CCc1ccccn1', 'CC1(C(=O)NCc2ccc(OC(F)(F)F)cc2)c2ccccc2C(=O)N1CCc1ccccn1']
CC1(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)COC1;[0, 1];[388, 817];[819, 1745];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CC1(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)COC1', 'CC1(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)COC1'];[<rdkit.Chem.rdchem.Mol object at 0x00000159250659E0>, <rdkit.Chem.rdchem.Mol object at 0x000001592507B890>];['CC1(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)COC1', 'CC1(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)COC1']
CC1(COc2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc2C2CC2)CCC2(CC1)CC2;[1, 1];[959, 1116];[2033, 2365];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CC1(COc2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc2C2CC2)CCC2(CC1)CC2', 'CC1(COc2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc2C2CC2)CCC2(CC1)CC2'];[<rdkit.Chem.rdchem.Mol object at 0x00000159249F2AC0>, <rdkit.Chem.rdchem.Mol object at 0x00000159249FBB30>];['CC1(COc2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc2C2CC2)CCC2(CC1)CC2', 'CC1(COc2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc2C2CC2)CCC2(CC1)CC2']
CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O;[0, 0];[180, 540];[385, 1150];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\\Nc1cccc(-c2cccc(C(=O)O)c2)c1O', 'CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\\Nc1cccc(-c2cccc(C(=O)O)c2)c1O'];[<rdkit.Chem.rdchem.Mol object at 0x0000015925059740>, <rdkit.Chem.rdchem.Mol object at 0x000001592506D200>];['CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\\Nc1cccc(-c2cccc(C(=O)O)c2)c1O', 'CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\\Nc1cccc(-c2cccc(C(=O)O)c2)c1O']
CC1CC(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)CC(C)O1;[1, 1];[601, 967];[1282, 2041];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CC1CC(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)CC(C)O1', 'CC1CC(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)CC(C)O1'];[<rdkit.Chem.rdchem.Mol object at 0x000001592506F970>, <rdkit.Chem.rdchem.Mol object at 0x00000159249F3190>];['CC1CC(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)CC(C)O1', 'CC1CC(CNc2cc(F)c(S(=O)(=O)Nc3nccs3)cc2Cl)CC(C)O1']
CCCCNc1ccc(C(=O)OCCN(C)C)cc1;[1, 1, 1, 1];[295, 466, 550, 1151];[637, 1009, 1180, 2424];[nan, nan, nan, nan];[nan, nan, nan, nan];['classNavinh', 'classNavinh', 'classNavinh', 'classNavinh'];['SMILES', 'SMILES', 'SMILES', 'SMILES'];['CCCCNc1ccc(C(=O)OCCN(C)C)cc1', 'CCCCNc1ccc(C(=O)OCCN(C)C)cc1', 'CCCCNc1ccc(C(=O)OCCN(C)C)cc1', 'CCCCNc1ccc(C(=O)OCCN(C)C)cc1'];[<rdkit.Chem.rdchem.Mol object at 0x0000015925060AC0>, <rdkit.Chem.rdchem.Mol object at 0x0000015925069120>, <rdkit.Chem.rdchem.Mol object at 0x000001592506D890>, <rdkit.Chem.rdchem.Mol object at 0x00000159249FE350>];['CCCCNc1ccc(C(=O)OCCN(C)C)cc1', 'CCCCNc1ccc(C(=O)OCCN(C)C)cc1', 'CCCCNc1ccc(C(=O)OCCN(C)C)cc1', 'CCCCNc1ccc(C(=O)OCCN(C)C)cc1']
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1;[1, 1];[77, 430];[195, 905];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1', 'CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1'];[<rdkit.Chem.rdchem.Mol object at 0x0000015925053040>, <rdkit.Chem.rdchem.Mol object at 0x0000015925067820>];['CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1', 'CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1']
CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12;[0, 0];[836, 880];[1773, 1858];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12', 'CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12'];[<rdkit.Chem.rdchem.Mol object at 0x000001592507C510>, <rdkit.Chem.rdchem.Mol object at 0x000001592507F200>];['CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12', 'CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12']
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12;[0, 0];[660, 835];[1416, 1772];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12', 'CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12'];[<rdkit.Chem.rdchem.Mol object at 0x0000015925074270>, <rdkit.Chem.rdchem.Mol object at 0x000001592507C430>];['CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12', 'CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12']
CCN(CC)CC(=O)Nc1c(C)cccc1C;[0, 0];[64, 1109];[163, 2351];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CCN(CC)CC(=O)Nc1c(C)cccc1C', 'CCN(CC)CC(=O)Nc1c(C)cccc1C'];[<rdkit.Chem.rdchem.Mol object at 0x0000015925052740>, <rdkit.Chem.rdchem.Mol object at 0x00000159249FB580>];['CCN(CC)CC(=O)Nc1c(C)cccc1C', 'CCN(CC)CC(=O)Nc1c(C)cccc1C']
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C;[0, 0];[82, 88];[203, 211];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\\C(=O)Nc3ccc(F)cc32)c1C', 'CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\\C(=O)Nc3ccc(F)cc32)c1C'];[<rdkit.Chem.rdchem.Mol object at 0x00000159250533C0>, <rdkit.Chem.rdchem.Mol object at 0x00000159250537B0>];['CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\\C(=O)Nc3ccc(F)cc32)c1C', 'CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\\C(=O)Nc3ccc(F)cc32)c1C']
CCS(=O)(=O)NC(=O)c1ccc2c(-c3cnc(OCC(C)C)c(Cl)c3)cn(C)c2c1;[1, 1];[1013, 1056];[2146, 2239];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CCS(=O)(=O)NC(=O)c1ccc2c(-c3cnc(OCC(C)C)c(Cl)c3)cn(C)c2c1', 'CCS(=O)(=O)NC(=O)c1ccc2c(-c3cnc(OCC(C)C)c(Cl)c3)cn(C)c2c1'];[<rdkit.Chem.rdchem.Mol object at 0x00000159249F6430>, <rdkit.Chem.rdchem.Mol object at 0x00000159249F84A0>];['CCS(=O)(=O)NC(=O)c1ccc2c(-c3cnc(OCC(C)C)c(Cl)c3)cn(C)c2c1', 'CCS(=O)(=O)NC(=O)c1ccc2c(-c3cnc(OCC(C)C)c(Cl)c3)cn(C)c2c1']
CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C(C)C)NC(=O)[C@H](Cc2c[nH]c4ccccc24)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]2CCCN2C1=O;[0, 0];[198, 687];[428, 1462];[nan, nan];[nan, nan];['classNavinh', 'classNavinh'];['SMILES', 'SMILES'];['CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C(C)C)NC(=O)[C@H](Cc2c[nH]c4ccccc24)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]2CCCN2C1=O', 'CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C(C)C)NC(=O)[C@H](Cc2c[nH]c4ccccc24)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]2CCCN2C1=O'];[<rdkit.Chem.rdchem.Mol object at 0x000001592505A4A0>, <rdkit.Chem.rdchem.Mol object at 0x0000015925075190>];['CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C(C)C)NC(=O)[C@H](Cc2c[nH]c4ccccc24)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]2CCCN2C1=O', 'CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H](C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N2)NC(=O)[C@H](CSSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C(N)=O)C(C)C)NC(=O)[C@H](Cc2c[nH]c4ccccc24)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC3=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]2CCCN2C1=O']
