ID;orig_ID;SMILES;y;CAS;NAME;UNITS;smiles_source
0;;CCCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C.Cl;0;;;classhERG;SMILES
1;;CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1;1;;;classhERG;SMILES
2;;Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2;1;;;classhERG;SMILES
3;;COc1cc(-c2cn(Cc3cccc(OC(F)(F)F)c3)nn2)ccc1-n1cnc(C)c1;1;;;classhERG;SMILES
4;;CC(=O)OCC(=O)NC1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1;0;;;classhERG;SMILES
5;;N#Cc1ccc2ccc(=O)n(CCN3CC[C@H](NCc4cc5c(cn4)OCCO5)[C@H](O)C3)c2c1;0;;;classhERG;SMILES
6;;N#Cc1ccc2ccc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1;0;;;classhERG;SMILES
7;;Cc1cc(OCCN2CCN(C)CC2)nn1-c1ccc(Cl)c(Cl)c1;1;;;classhERG;SMILES
8;;N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)c3ccnc4ccccc34)CC1)C2;1;;;classhERG;SMILES
9;;Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccccc3C(F)(F)F)C2)n1C;1;;;classhERG;SMILES
10;;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;0;;;classhERG;SMILES
11;;CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1;1;;;classhERG;SMILES
12;;Cc1ccc2[nH]c(C(=O)N[C@@H]3Cc4ccccc4[C@H]3NC(=O)CCN(C)C)cc2c1;1;;;classhERG;SMILES
13;;Cc1nc(N2CCCC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12;1;;;classhERG;SMILES
14;;O=C(NC1CCN(Cc2ccc3cc[nH]c3c2)CC1)c1cc(=O)c2ccc(F)cc2o1;1;;;classhERG;SMILES
15;;Cn1c(=O)ccc2ccc(CN3CCC(NC(=O)c4cc(=O)c5ccc(F)cc5o4)CC3)cc21;0;;;classhERG;SMILES
