SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source
Brc1ccc(Nc2ccc(CN3CCC4(CC3)OCCc3sccc34)cc2)cc1;1;[6833, 1502];[nan, nan];[nan, nan];[nan, nan];classhERG;SMILES
Brc1ccc2c(NC3=NC[C@@]4(CN5CCC4CC5)O3)ncnn12;1;1326;;;;classhERG;SMILES
Brc1cccc2nc(C#Cc3ccccn3)ccc12;0;6128;;;;classhERG;SMILES
Brc1cnc2nc(N3CCN4CCC3CC4)oc2c1;1;2607;;;;classhERG;SMILES
Brc1cncc(COCC2(c3ccccc3)CCNCC2)c1;0;4045;;;;classhERG;SMILES
C#CCNc1ccnc2sc3c(=O)n(-c4ccc(OC)cc4)cnc3c12;0;6899;;;;classhERG;SMILES
C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(C)N=C(N)S[C@@]4(COC)C[C@H]43)c2)cn1;1;8371;;;;classhERG;SMILES
C#Cc1cnc(Nc2cnc(C#N)c(O[C@H](C)CN(C)C)n2)cc1NC;1;4059;;;;classhERG;SMILES
C#Cc1cnc(Nc2cnc(C#N)cn2)cc1NC[C@@H]1CNCCO1;1;8960;;;;classhERG;SMILES
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4ccnc4)ccc2-3)cs1)COc1ccccc1;1;3950;;;;classhERG;SMILES
C(#Cc1cc(-c2n[nH]c3c2Cc2cc(Cn4cncn4)ccc2-3)cs1)COc1ccccc1;1;499;;;;classhERG;SMILES
C(#Cc1ccc2ccccc2n1)c1ccccn1;0;2543;;;;classhERG;SMILES
C/C(=N\NC(=N)N)c1ccc2c(c1)Cc1cc(/C(C)=N/NC(=N)N)ccc1-2;1;5982;;;;classhERG;SMILES
C/C=C/c1cc(C(F)(F)F)cc(COCC2(c3ccc(F)cc3)CCN(C)CC2)n1;0;4805;;;;classhERG;SMILES
C/C=C1/N(C)C(C)CC1(c1ccccc1)c1ccccc1;0;3996;;;;classhERG;SMILES
