ID;orig_ID;SMILES;y;CAS;NAME;UNITS;smiles_source
0;;Oc1ccc(CCN2CCC(Nc3n(Cc4ccc(F)cc4)c(c5n3)cccc5)CC2)cc1;1;;hERG001;classhERG;Smiles
1;;CC(c1ccc(C(CCCN2CCC(C(c3ccccc3)(c4ccccc4)O)CC2)O)cc1)(C)C;1;;hERG002;classhERG;Smiles
2;;OC(Cc1ccc(n2c(c3c(C4CCN(CCN5C(=O)NCC5)CC4)c2)ccc(Cl)c3)cc1)=O;1;;hERG003;classhERG;Smiles
3;;COc1c(OC)cc(c2c1)c(N)nc(N3CCN(C(C4Oc(c5OC4)cccc5)=O)CC3)n2;1;;hERG004;classhERG;Smiles
4;;CC(NCCC(c1ccccc1)c2ccccc2)Cc3ccccc3;1;;hERG005;classhERG;Smiles
5;;COc1c(C(NC2CCN(Cc3ccccc3)CC2)=O)cc(Cl)c(N)c1;1;;hERG006;classhERG;Smiles
6;;OCCOCCN1CCN(C(c2ccc(Cl)cc2)c3ccccc3)CC1;1;;hERG007;classhERG;Smiles
7;;Clc1c(Cl)c(N2CCN(CCCCOc3cc(c4cc3)NC(=O)CC4)CC2)ccc1;1;;hERG008;classhERG;Smiles
8;;CN(CCC(Nc1nc(c2ccc(C)o2)nc(n3c(C)ccn3)c1)=O)C;1;;hERG009;classhERG;Smiles
9;;CN1CCN(CCCN(C(Nc2cc(C(F)(F)F)c(F)cc2)=O)C3C(C4C(c5cc(c6cc5)C(N)NO6)C3)C4)CC1;1;;hERG010;classhERG;Smiles
10;;CC(NN(c1cc(C)c(C)cc1)C2=O)=C2NN=C3C(=O)C(c4cc(C(O)=O)ccc4)=CC=C3;1;;hERG011;classhERG;Smiles
11;;COc1cc(c2cc1)c(C(C3N(CC(C=C)C4C3)CC4)O)ccn2;1;;hERG012;classhERG;Smiles
12;;Fc1ccc(n2c(c3c(C(CCN(CCN4C(=O)NCC4)C5)=C5)c2)ccc(Cl)c3)cc1;1;;hERG013;classhERG;Smiles
13;;NCCC(c1c(c2c(c3c1)cc(Cl)cc3Cl)ccc(C(F)(F)F)c2)O;1;;hERG014;classhERG;Smiles
14;;Cc1n(CC2C(=O)c3c(n(C)c(c34)cccc4)CC2)ccn1;1;;hERG015;classhERG;Smiles
15;;CNCCC(c1ccccc1)Oc2ccc(C(F)(F)F)cc2;1;;hERG016;classhERG;Smiles
16;;CN(CCOC(c1c(C)cccc1)c2ccccc2)C;1;;hERG017;classhERG;Smiles
17;;CC(CN(C)C)CN1c(c2Sc(c13)cccc3)cc(C#N)cc2;1;;hERG018;classhERG;Smiles
18;;O=C1N(Cc2ccccc2)CCC1N(Cc3n(Cc4ccc(C#N)cc4)cnc3)Cc5cnccc5;1;;hERG019;classhERG;Smiles
19;;CN(CCC(c1ncccc1)c2ccc(Br)cc2)C;1;;hERG020;classhERG;Smiles
20;;FC1C(c2c(c3[nH]c2C(Nc4ccccc4)=O)ccc(F)c3)CNCC1;1;;hERG021;classhERG;Smiles
21;;COc1c(OC)cc(CNCC(COc2cc(c3cc2)C=CC(=O)N3)O)cc1;1;;hERG022;classhERG;Smiles
22;;CC1N(C(Nc2ccc(C(C)(C)C)cc2)=NC#N)CCN(c3c(F)cccn3)C1;1;;hERG023;classhERG;Smiles
23;;CC(c1ccc(NC(N2CCN(c3c(Cl)cccn3)CC2)=O)cc1)(C)C;1;;hERG024;classhERG;Smiles
24;;CN(CCCn1c(c2c(C(C(=O)NC3=O)=C3c4c(c5[nH]c4)cccc5)c1)cccc2)C;1;;hERG025;classhERG;Smiles
25;;COc1c(OC)c(C(C2CCN(CCc3ccc(F)cc3)CC2)O)ccc1;1;;hERG026;classhERG;Smiles
26;;OCCN1CCN(CCCN2c(c3Sc(c24)cccc4)cc(Cl)cc3)CC1;1;;hERG027;classhERG;Smiles
27;;O=C1NN=C(c2ccc(Nc3ccncc3)cc2)CC1;1;;hERG028;classhERG;Smiles
28;;CN1c(c2C(c3ccccc3)=NC(NC(Nc4cc(C)ccc4)=O)C1=O)cccc2;1;;hERG029;classhERG;Smiles
29;;COc1c(OC)cc(C(N2CCN(c3cc(c4cc3)CCC(=O)N4)CC2)=O)cc1;1;;hERG030;classhERG;Smiles
30;;FC1C(c2c(c3[nH]c2c4ccccc4)cccc3)CNCC1;1;;hERG031;classhERG;Smiles
31;;Clc1cc(CN2C(=O)C(N(Cc3n(Cc4ccc(C#N)cc4)cnc3)CCN5CCNCC5)CC2)ccc1;1;;hERG032;classhERG;Smiles
32;;CNCCCC1c(c2C=Cc(c13)cccc3)cccc2;1;;hERG033;classhERG;Smiles
33;;CC(c1ccccc1)(C2C=CC(C(c3cc(OC(F)F)c(OC(F)F)cc3)c4cc[n+]([O-])cc4)=CN2)O;1;;hERG034;classhERG;Smiles
34;;CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(Cc4cscc4)CC3)C2)CC;1;;hERG035;classhERG;Smiles
35;;CCOC(C1C(N(C)C2CC1OC(c3ccccc3)=O)CC2)=O;1;;hERG036;classhERG;Smiles
36;;CC(N=C(N1C2=O)C(O)CCC1)=C2CCN3CCC(c4c(c5on4)ccc(F)c5)CC3;1;;hERG037;classhERG;Smiles
37;;Fc1ccc(C2C3(CCN(C4(c5ccc(F)cc5)CCCCC4)CC3)C(=O)NC2)cc1;1;;hERG038;classhERG;Smiles
38;;CN(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)C4CCNCC4;1;;hERG039;classhERG;Smiles
39;;CN(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)CCCN;1;;hERG040;classhERG;Smiles
40;;COc1ccc(CCN2CCC(Nc3n(Cc4ccc(F)cc4)c(c5n3)cccc5)CC2)cc1;1;;hERG041;classhERG;Smiles
41;;Fc1ccc(c2c(C3CNCCC3)c(c4[nH]2)ccc(F)c4)cc1;1;;hERG042;classhERG;Smiles
42;;CNCCCN1c(c2CCc(c13)cccc3)cccc2;1;;hERG043;classhERG;Smiles
43;;CN1CCN(CCCCN2C(=O)N(N=Cc3ccc(c4ccc(Cl)cc4)o3)CC2=O)CC1;1;;hERG044;classhERG;Smiles
44;;O=C1C2(CCN(C3C(c4ccccc4)CCCC3)CC2)C(c5ccccc5)CN1;1;;hERG045;classhERG;Smiles
45;;FC1C(c2c(c3[nH]c2c4ccccc4)ccc(Cl)c3)CNCC1;1;;hERG046;classhERG;Smiles
46;;CN(CCCN1c(c2Sc(c13)cccc3)cc(Cl)cc2)C;1;;hERG047;classhERG;Smiles
47;;CCC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)CC;1;;hERG048;classhERG;Smiles
48;;CN1C(CCOC(c2ccc(Cl)cc2)(c3ccccc3)C)CCC1;1;;hERG049;classhERG;Smiles
49;;COc1c(OCC2CCN(C(CN(C)C)=O)CC2)cc(c3c1)ncnc3Nc4c(F)cc(Br)cc4;1;;hERG050;classhERG;Smiles
50;;CC(C(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)N)(C)C;1;;hERG051;classhERG;Smiles
51;;FC1C(c2c(c3[nH]c2c4cscc4)ccc(F)c3)CNCC1;1;;hERG052;classhERG;Smiles
52;;CC(NC(C)(C)C)CC(c1ccccc1)c2ccccc2;1;;hERG053;classhERG;Smiles
53;;COc1c(OC)cc(c2c1)c(N)nc(N3CCN(C(c4ccco4)=O)CC3)n2;1;;hERG054;classhERG;Smiles
54;;CCC(c1ccccc1)=C(c2ccc(OCCN(C)C)cc2)c3ccccc3;1;;hERG055;classhERG;Smiles
55;;Fc1ccc(C(c2ccc(F)cc2)N3CCNCC3)cc1;1;;hERG056;classhERG;Smiles
56;;FC1C(c2c(c3[nH]c2c4ccc(F)cc4)ccc(F)c3)CNCC1;1;;hERG057;classhERG;Smiles
57;;CN(CC1CCN(CC(Nc2nc(c3ccc(C)o3)nc(n4c(C)ccn4)c2)=O)CC1)C;1;;hERG058;classhERG;Smiles
58;;Cc1nc(CCN2CCC(C(c3ccc(NS(C)(=O)=O)cc3)=O)CC2)ccc1;1;;hERG059;classhERG;Smiles
59;;CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(CCc4cc(C(F)(F)F)cc(N)c4)CC3)C2)CC;1;;hERG060;classhERG;Smiles
60;;OC1(C2CCC(F)CC2)C(N3CCC4(C(=O)NCC4c5ccccc5)CC3)CCCC1;1;;hERG061;classhERG;Smiles
61;;CCC(N(c1ccccc1)C2CCN(CCc3ccccc3)CC2)=O;1;;hERG062;classhERG;Smiles
62;;CC(N1CCN(c2ccc(OCC3OC(c4c(Cl)cc(Cl)cc4)(Cn5cncc5)OC3)cc2)CC1)=O;1;;hERG063;classhERG;Smiles
63;;CCC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)=O;1;;hERG064;classhERG;Smiles
64;;COc1c(OC)cc(c2c1)C(=O)C(CC3CCN(Cc4ccccc4)CC3)C2;1;;hERG065;classhERG;Smiles
65;;Fc1ccc(CCN2CC(=O)N(C3Cc(c4CC3)ccc(CN5CCC(C(F)(F)F)CC5)c4)CC2)cc1;1;;hERG066;classhERG;Smiles
66;;CCOC(C(C(c1c(Cl)cccc1)C(C(OC)=O)=C(C)N2)=C2COCCN)=O;1;;hERG067;classhERG;Smiles
67;;COc1c(C(NC2C(CN3CC2)CCC3)=O)cc(Cl)c(N)c1;1;;hERG068;classhERG;Smiles
68;;Clc1cc(Cl)c(COC(c2c(Cl)cc(Cl)cc2)Cn3cncc3)cc1;1;;hERG069;classhERG;Smiles
69;;Fc1ccc(n2c(c3c(C4CCN(CCN5C(=O)NCC5)CC4)c2)ccc(Cl)c3)cc1;1;;hERG070;classhERG;Smiles
70;;FC1C(c2c(c3[nH]c2c4ccccc4)cccc3Cl)CNCC1;1;;hERG071;classhERG;Smiles
71;;CCC(C(c1ccccc1)(c2ccccc2)CC(N(C)C)C)OC(C)=O;1;;hERG072;classhERG;Smiles
72;;CC(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)(CN)C;1;;hERG073;classhERG;Smiles
73;;CCC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)O;1;;hERG074;classhERG;Smiles
74;;Cc1[nH]c2c(c(c3N(C(c4ccc(NC(c5c(c6ccccc6)cccc5)=O)cc4)=O)CC2)cccc3)n1;1;;hERG075;classhERG;Smiles
75;;CCOC(N1CCC(=C2c(c3CCc(c24)cc(Cl)cc4)nccc3)CC1)=O;1;;hERG076;classhERG;Smiles
76;;NCCC(c1ccccc1)Oc2ccc(C(F)(F)F)cc2;1;;hERG077;classhERG;Smiles
77;;CN1C2c(c3CC1)c(c(c4C2)c(O)c(O)cc4)ccc3;1;;hERG078;classhERG;Smiles
78;;CC(C(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)N)C;1;;hERG079;classhERG;Smiles
79;;CCC(C(c1ccccc1)(c2ccccc2)CC(N(C)C)C)OC(C)=O;1;;hERG080;classhERG;Smiles
80;;CC(N(C(C)C)CCC(c1c(O)ccc(C)c1)c2ccccc2)C;1;;hERG081;classhERG;Smiles
81;;COc1ccc(CN(c2ncccc2)CCN(C)C)cc1;1;;hERG082;classhERG;Smiles
82;;CCN(CCCC(Nc1c(c2ncc1)ccc(Cl)c2)C)CC;1;;hERG083;classhERG;Smiles
83;;Brc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)=CC2=O;1;;hERG084;classhERG;Smiles
84;;C(N1CC(C2(CCCC2)C3C1)CN(CC4CC4)C3)C5CC5;1;;hERG085;classhERG;Smiles
85;;FC1C(c2c(c3[nH]c2C(CC=CN4)=C4)ccc(F)c3)CNCC1;1;;hERG086;classhERG;Smiles
86;;COc1c(OC)c(c2cc1)C(Cc3ccccc3)N4C(c(c5CC4)cc(OC)c(OC)c5)C2;1;;hERG087;classhERG;Smiles
87;;OC(c1c(c2nc(C(F)(F)F)c1)cccc2C(F)(F)F)C3NCCCC3;1;;hERG088;classhERG;Smiles
88;;COc1c(OC)cc(c2c1)C(Cc3ccc(Oc4c(O)ccc(CC5c(c6CCN5C)cc(OC)c(OC)c6)c4)cc3)N(C)CC2;1;;hERG089;classhERG;Smiles
89;;CC(CN1CC(CNC(C(C(N2C(N)=C3Cl)NC(C)=C2)=C3)=O)CCC1)C;1;;hERG090;classhERG;Smiles
90;;OC(c1ccc(F)cc1)CCCN2CCC(c3ccc(Cl)cc3)(O)CC2;1;;hERG091;classhERG;Smiles
91;;CC(C(Cc1ccc(Cl)cc1)(O)C)CN(C)C;1;;hERG092;classhERG;Smiles
92;;Clc1cc(N2CCN(CCCN3C(=O)N(C4=N3)C=CC=C4)CC2)ccc1;1;;hERG093;classhERG;Smiles
93;;CN1C2c(c3CC1)c(c(c4C2)c(O)c(O)cc4)ccc3;1;;hERG094;classhERG;Smiles
94;;FC1C(c2c(c3[nH]c2c4ccccc4)cccc3F)CNCC1;1;;hERG095;classhERG;Smiles
95;;Clc1c(C(n2cncc2)(c3ccccc3)c4ccccc4)cccc1;1;;hERG096;classhERG;Smiles
96;;CNCCCC(c(c12)cccc1)(c(c34)cccc3)CCC24;1;;hERG097;classhERG;Smiles
97;;O=C1N(c2ccncc2)CCC1NCc3n(Cc4ccc(C#N)cc4)cnc3;1;;hERG098;classhERG;Smiles
98;;Cc1c(CN2C(=O)c3c(n(C)c(c34)cccc4)CC2)[nH]cn1;1;;hERG099;classhERG;Smiles
99;;Cc1c(NC(CN2CCN(CCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2)=O)c(C)ccc1;1;;hERG100;classhERG;Smiles
100;;CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(CCc4ccc(Cl)cc4)CC3)C2)CC;1;;hERG101;classhERG;Smiles
101;;CCN(Cc1cc(c2cc1)CCC(N3C(=O)CN(CCC4CCCCC4)CC3)C2)CC;1;;hERG102;classhERG;Smiles
102;;CN(CCCN1c(c2CCc(c13)cccc3)cccc2)C;1;;hERG103;classhERG;Smiles
103;;NC(C(N1C(c2ccccc2)C=C(c3c(F)ccc(F)c3)C1)=O)C4CC4;1;;hERG104;classhERG;Smiles
104;;CCc1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2;1;;hERG105;classhERG;Smiles
105;;CN1CCN(CCCN2c(c3Sc(c24)cccc4)cc(C(F)(F)F)cc3)CC1;1;;hERG106;classhERG;Smiles
106;;FC(Oc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)=CC2=O)F;1;;hERG107;classhERG;Smiles
107;;Clc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)=CC2=O;1;;hERG108;classhERG;Smiles
108;;Nc1ccc(C(N2CC3CC(CN(Cc4ccccc4)C3)C2)=O)cc1;1;;hERG109;classhERG;Smiles
109;;CCC(OC(c1ccccc1)(C(CNC)C)Cc2ccccc2)=O;1;;hERG110;classhERG;Smiles
110;;Fc1ccc(C(c2ccc(F)cc2)CCCN3CCC([N+](C4=O)=C5C(=N4)C=CC=C5)CC3)cc1;1;;hERG111;classhERG;Smiles
111;;CN(C1CCC2)C2CC(NC(c3c(c4n(C)n3)cccc4)=O)C1;1;;hERG112;classhERG;Smiles
112;;COCCCCC(c1ccc(C(F)(F)F)cc1)=NOCCN;1;;hERG113;classhERG;Smiles
113;;FC(COc1cc(C(NCC2NCCCC2)=O)c(OCC(F)(F)F)cc1)(F)F;1;;hERG114;classhERG;Smiles
114;;O=C1N(CCCCN2CCN(c3ncccn3)CC2)C(=O)CC4(CCCC4)C1;1;;hERG115;classhERG;Smiles
115;;CN(CCCC1(c2ccc(F)cc2)c(c3CO1)ccc(C#N)c3)C;1;;hERG116;classhERG;Smiles
116;;Fc1ccc(CCN2CC(=O)N(C3Cc(c4CC3)ccc(Cn5cncc5)c4)CC2)cc1;1;;hERG117;classhERG;Smiles
117;;Fc1cc(c2cc1)C(=O)C=C(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)O2;1;;hERG118;classhERG;Smiles
118;;Clc1cc(c2cc1)N=C(N3CCNCC3)c(c4N2)cccc4;1;;hERG119;classhERG;Smiles
119;;FC1C(c2c(c3[nH]c2c4ccccc4)ccc(F)c3)CNCC1;1;;hERG120;classhERG;Smiles
120;;COCCCN1CCC(NC(c2c(c3c(N)c(Cl)c2)OCC3)=O)CC1;1;;hERG121;classhERG;Smiles
121;;C1C(N(c2ccccc2)C3C1)CC(c4c(c5[nH]c4c6ccccc6)cccc5)C3;1;;hERG122;classhERG;Smiles
122;;CN1CCC(CC(Nc2nc(c3ccc(C)o3)nc(n4c(C)ccn4)c2)=O)CC1;1;;hERG123;classhERG;Smiles
123;;CC(C(Cl)(Cl)Cl)(O)C;1;;hERG124;classhERG;Smiles
124;;Clc1cc(c2cc1)CCc(c3C2=C4CCNCC4)cccn3;1;;hERG125;classhERG;Smiles
125;;COc1c(N2CC(O)CC2)ccc(N3C(=O)c(c4N=C3)sc(c5ccc(Cl)cc5)c4)c1;1;;hERG126;classhERG;Smiles
126;;CC(c1c(c2n(c3ccc(F)cc3)c1)cc(Cl)cc2)O;1;;hERG127;classhERG;Smiles
127;;CN1C(=O)c(c2N(C)C1=O)n(C)cn2;1;;hERG128;classhERG;Smiles
128;;C1CC(c2c(c3[nH]c2c4ccccc4)cccc3)CNC1;1;;hERG129;classhERG;Smiles
129;;O=C(C(Oc(c1C2=O)cc(C#N)cc1)=C2)NC3CCN(Cc4cc(c5cc4)OCO5)CC3;1;;hERG130;classhERG;Smiles
130;;Clc1cc(c2cc1)C(N3CCNCC3)=Nc(c4O2)cccc4;1;;hERG131;classhERG;Smiles
131;;COc1cc(c2cc1)C3(C4C(N(C)CC3)C2)CCCC4;1;;hERG132;classhERG;Smiles
132;;COC1C(NC(c2c(OC)cc(N)c(Cl)c2)=O)CCN(CCCOc3ccc(F)cc3)C1;1;;hERG133;classhERG;Smiles
133;;COCCOCC#Cc1scc(c2c(c3[nH]n2)C(=O)c(c34)cc(CN5CCN(C)CC5)cc4)c1;1;;hERG134;classhERG;Smiles
134;;COc1ccc(CN2CCC(NC(C(Oc(c3C4=O)cc(F)cc3)=C4)=O)CC2)cc1;1;;hERG135;classhERG;Smiles
135;;CCN(CCNC(c1c(OC)cc(N)c(Cl)c1)=O)CC;1;;hERG136;classhERG;Smiles
136;;FC1C(c2c(c3[nH]c2C4CCCCCC4)ccc(F)c3)CNCC1;1;;hERG137;classhERG;Smiles
137;;CN(CCC=C1c(c2CCc(c13)cccc3)cccc2)C;1;;hERG138;classhERG;Smiles
138;;CCCCNCC(c1c(c2cc(Cl)c1)c(c3C2=Cc4ccc(Cl)cc4)ccc(Cl)c3)O;1;;hERG139;classhERG;Smiles
139;;NC(C(N1C(c2cc(O)ccc2)C=C(c3c(F)ccc(F)c3)C1)=O)C4CC4;1;;hERG140;classhERG;Smiles
140;;Fc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OC(F)(F)O5)CC3)=O)=CC2=O;1;;hERG141;classhERG;Smiles
141;;C1NCCC(c2c(c3[nH]c2c4ccccc4)cccc3)C1;1;;hERG142;classhERG;Smiles
142;;OCCOCCN1CCN(C(c(c2Sc(c34)cccc3)cccc2)=N4)CC1;1;;hERG143;classhERG;Smiles
