SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source
BrC(Br)C(Br)Br;516.7;0;1;;1,1,2,2-tetrabromoethane;K;isoSMILES_from_NAME
BrCBr;370.1;27;28;;dibromomethane;K;isoSMILES_from_NAME
BrCCBr;404.5;3;4;;1,2-dibromoethane;K;isoSMILES_from_NAME
BrCc1ccccc1;471.6;23;24;;benzylbromide;K;isoSMILES_from_NAME
Brc1cc(Br)cc(Br)c1;544.1;4;5;;1,3,5-tribromobenzene;K;isoSMILES_from_NAME
Brc1cccc(Br)c1;491.6;5;6;;1,3-dibromobenzene;K;isoSMILES_from_NAME
Brc1ccccc1;429.2;24;25;;bromobenzene;K;isoSMILES_from_NAME
Brc1ccccc1Br;497.1;2;3;;1,2-dibromobenzene;K;isoSMILES_from_NAME
Brc1ccoc1;376.1;20;21;;3-bromofuran;K;isoSMILES_from_NAME
C/C(Cl)=C/Cl;361.3;76;77;;1,2-dichloropropene;K;isoSMILES_from_NAME
C/C=C/C;274.0;325;326;;trans-2-butene;K;isoSMILES_from_NAME
C/C=C/CCC;341.0;326;327;;trans-2-hexene;K;isoSMILES_from_NAME
C/C=C/c1ccc(OC)cc1;508.5;360;361;;anethole;K;isoSMILES_from_NAME
C/C=C\C;276.9;261;262;;cis-2-butene;K;isoSMILES_from_NAME
C/C=C\CCC;342.0;262;263;;cis-2-hexene;K;isoSMILES_from_NAME
C1=CCC=C1;314.6;266;267;;cyclopentadiene;K;isoSMILES_from_NAME
C1=CCCC1;317.4;268;269;;cyclopentene;K;isoSMILES_from_NAME
C1=CCCC=C1;353.5;217;218;;1,3-cyclohexadiene;K;isoSMILES_from_NAME
C1=CCCCC1;356.1;265;266;;cyclohexene;K;isoSMILES_from_NAME
C1=CCOC1;339.0;335;336;;2,5-dihydrofuran;K;isoSMILES_from_NAME
C1CCC(C2CCCCC2)CC1;512.2;367;368;;bicyclohexyl;K;isoSMILES_from_NAME
C1CCCC1;322.4;267;268;;cyclopentane;K;isoSMILES_from_NAME
C1CCCCC1;353.9;264;265;;cyclohexane;K;isoSMILES_from_NAME
