SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source
C=O;-6.47237;0;1;50-00-0;;logH;isoSMILES_from_CAS
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1;-5.079877;1;2;50-29-3;;logH;isoSMILES_from_CAS
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34;-6.3400836;2;3;50-32-8;;logH;isoSMILES_from_CAS
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1;-7.0655017;3;4;51-28-5;;logH;isoSMILES_from_CAS
NC(=O)c1ccccc1;-9.610834;4;5;55-21-0;;logH;isoSMILES_from_CAS
ClC(Cl)(Cl)Cl;-1.559091;5;6;56-23-5;;logH;isoSMILES_from_CAS
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1;-6.5257835;6;7;56-38-2;;logH;isoSMILES_from_CAS
OCC(O)CO;-7.761954;7;8;56-81-5;;logH;isoSMILES_from_CAS
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl;-5.4979486;8;9;58-89-9;;logH;isoSMILES_from_CAS
CCOCC;-2.910095;9;10;60-29-7;;logH;isoSMILES_from_CAS
CCO;-5.30103;10;11;64-17-5;;logH;isoSMILES_from_CAS
O=CO;-6.7772837;11;12;64-18-6;;logH;isoSMILES_from_CAS
CC(=O)O;-7.0;12;13;64-19-7;;logH;isoSMILES_from_CAS
CCCCCC=O;-3.6716204;13;14;66-25-1;;logH;isoSMILES_from_CAS
CC(C)O;-5.091515;14;15;67-63-0;;logH;isoSMILES_from_CAS
CC(C)=O;-4.455932;15;16;67-64-1;;logH;isoSMILES_from_CAS
ClC(Cl)Cl;-2.435334;16;17;67-66-3;;logH;isoSMILES_from_CAS
ClC(Cl)(Cl)C(Cl)(Cl)Cl;-2.4100504;17;18;67-72-1;;logH;isoSMILES_from_CAS
CN(C)C=O;-7.131356;18;19;68-12-2;;logH;isoSMILES_from_CAS
CCCCO;-5.055024;19;20;71-36-3;;logH;isoSMILES_from_CAS
CCCCCO;-4.8860564;20;21;71-41-0;;logH;isoSMILES_from_CAS
c1ccccc1;-2.255707;21;22;71-43-2;;logH;isoSMILES_from_CAS
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1;-6.692504;22;23;72-43-5;;logH;isoSMILES_from_CAS
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1;-5.180456;23;24;72-54-8;;logH;isoSMILES_from_CAS
