ID;orig_ID;SMILES;y;CAS;NAME;UNITS;smiles_source
0;12707;C[C@@H](O)[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(O)=O;31.6599998474121;No CAS number;;pKa;SMILES
1;365;CCC#N;30.8999996185302;107-12-0;;pKa;SMILES
2;42;CC(N)=O;28.3999996185302;60-35-5;;pKa;SMILES
3;427;N#CCCC#N;26.6000003814697;110-61-2;;pKa;SMILES
4;12484;C[C@H](O)[C@@H](N)C(=O)N[C@H](CCCCN)C(=O)N1CCC[C@@H]1C(=O)N[C@H]([C@H](C)O)C(=O)N[C@H](CC(O)=O)C(=O)NCC(=O)N[C@H](CC(N)=O)C(O)=O;25.079999923706;No CAS number;;pKa;SMILES
5;12483;C[C@H](O)[C@@H](N)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(O)=O;24.2900009155273;No CAS number;;pKa;SMILES
6;12708;C[C@@H](O)[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(N)=O;22.1700000762939;No CAS number;;pKa;SMILES
7;12482;C[C@H](O)[C@@H](N)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(N)=O;21.8899993896484;No CAS number;;pKa;SMILES
8;12513;NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CN)C(=O)N1CCC[C@H]1C(=O)NCC(O)=O;21.7700004577636;126947-91-9;;pKa;SMILES
9;266;CC(=O)c1ccccc1;21.5499992370605;98-86-2;;pKa;SMILES
10;12710;C[C@@H](O)[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(O)=O;21.2999992370605;No CAS number;;pKa;SMILES
11;12319;[H+].OP(O)(=O)CNCP(O)(O)=O;21.2800006866455;No CAS number;;pKa;SMILES
12;12709;C[C@@H](O)[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(O)=O;21.2700004577636;No CAS number;;pKa;SMILES
13;12772;NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(O)=O;21.1200008392334;82361-52-2;;pKa;SMILES
14;410;Nc1ncccn1;20.5;109-12-6;;pKa;SMILES
15;68;CC(C)=O;20.0;67-64-1;;pKa;SMILES
16;2013;Cc1cccc2cc[nH]c12;19.4599990844726;933-67-5;;pKa;SMILES
17;6492;CCOC(=O)[C@H](C)N(C)C(=O)NC;19.4500007629394;No CAS number;;pKa;SMILES
18;68;CC(C)=O;19.2999992370605;67-64-1;;pKa;SMILES
19;68;CC(C)=O;19.2999992370605;67-64-1;;pKa;SMILES
20;94;CC(C)(C)O;19.2000007629394;75-65-0;;pKa;SMILES
21;94;CC(C)(C)O;19.2000007629394;75-65-0;;pKa;SMILES
22;94;CC(C)(C)O;19.2000007629394;75-65-0;;pKa;SMILES
23;68;CC(C)=O;19.1599998474121;67-64-1;;pKa;SMILES
24;68;CC(C)=O;19.1000003814697;67-64-1;;pKa;SMILES
25;295;COc1ccc(cc1)C(C)=O;19.0;100-06-1;;pKa;SMILES
26;6491;CCOC(=O)[C@H](C)N(C)C(=O)N(C)C;19.0;No CAS number;;pKa;SMILES
27;295;COc1ccc(cc1)C(C)=O;18.9599990844726;100-06-1;;pKa;SMILES
28;2233;Oc1ccc2[nH]ccc2c1;18.8600006103515;1953-54-4;;pKa;SMILES
29;6476;CCOC(=O)CN(C)C(=O)NC;18.7999992370605;104892-33-3;;pKa;SMILES
30;6478;CCOC(=O)CNC(=O)NC;18.7999992370605;7150-62-1;;pKa;SMILES
31;1769;Nc1ccncn1;18.3999996185302;591-54-8;;pKa;SMILES
32;266;CC(=O)c1ccccc1;18.3799991607666;98-86-2;;pKa;SMILES
33;266;CC(=O)c1ccccc1;18.3099994659423;98-86-2;;pKa;SMILES
34;67;CC(C)O;18.0;67-63-0;;pKa;SMILES
35;67;CC(C)O;17.9699993133544;67-63-0;;pKa;SMILES
36;115;CCC(C)O;17.6000003814697;78-92-2;;pKa;SMILES
37;115;CCC(C)O;17.6000003814697;78-92-2;;pKa;SMILES
38;115;CCC(C)O;17.6000003814697;78-92-2;;pKa;SMILES
39;206;CCC(=O)c1ccccc1;17.6000003814697;93-55-0;;pKa;SMILES
40;206;CCC(=O)c1ccccc1;17.5599994659423;93-55-0;;pKa;SMILES
41;420;c1cc[nH]c1;17.5;109-97-7;;pKa;SMILES
42;2037;COc1ccc2[nH]ccc2c1;17.329999923706;1006-94-6;;pKa;SMILES
43;1835;Cc1ccc2[nH]ccc2c1;17.2399997711181;614-96-0;;pKa;SMILES
44;7472;COS([O-])(=O)=O.CC(=O)c1ccc(cc1)[N+](C)(C)C;17.1200008392334;111864-78-9;;pKa;SMILES
45;67;CC(C)O;17.1000003814697;67-63-0;;pKa;SMILES
46;67;CC(C)O;17.1000003814697;67-63-0;;pKa;SMILES
47;94;CC(C)(C)O;17.0300006866455;75-65-0;;pKa;SMILES
48;2378;COc1cccc2cc[nH]c12;17.0300006866455;3189-22-8;;pKa;SMILES
49;94;CC(C)(C)O;17.0;75-65-0;;pKa;SMILES
50;135;O=C1CCc2ccccc12;16.9599990844726;83-33-0;;pKa;SMILES
51;10136;[O-][N+](=O)c1ccc(cc1)C(c1ccccc1)c1ccccc1;16.8999996185302;2945-12-02 00:00:00;;pKa;SMILES
52;3011;NCCNCC(O)=O;16.8600006103515;24123-14-6;;pKa;SMILES
53;51;CCO;16.8500003814697;64-17-5;;pKa;SMILES
54;67;CC(C)O;16.8099994659423;67-63-0;;pKa;SMILES
55;88;CC=O;16.7999992370605;75-07-0;;pKa;SMILES
56;88;CC=O;16.7299995422363;75-07-0;;pKa;SMILES
57;6448;CCOC(=O)C(C)(C)N(C)C(=O)Nc1ccccc1;16.7000007629394;124004-47-3;;pKa;SMILES
58;1373;CC(=O)c1ccc(cc1)[N+]([O-])=O;16.6499996185302;100-19-6;;pKa;SMILES
59;1373;CC(=O)c1ccc(cc1)[N+]([O-])=O;16.6000003814697;100-19-6;;pKa;SMILES
60;2546;COc1cccc2[nH]ccc12;16.579999923706;4837-90-5;;pKa;SMILES
61;42;CC(N)=O;16.5;60-35-5;;pKa;SMILES
62;67;CC(C)O;16.5;67-63-0;;pKa;SMILES
63;420;c1cc[nH]c1;16.5;109-97-7;;pKa;SMILES
64;2173;OC(=O)c1ccc2[nH]ccc2c1;16.4500007629394;1670-81-1;;pKa;SMILES
65;10682;OC(=O)c1cccc2[nH]ccc12;16.3899993896484;2124-55-2;;pKa;SMILES
66;2412;Cc1ccc2cc[nH]c2c1;16.3799991607666;3420-02-08 00:00:00;;pKa;SMILES
67;13326;c1ccc2[nH]c(nc2c1)-c1cccc(n1)-c1nc2ccccc2[nH]1;16.329999923706;28020-73-7;;pKa;SMILES
68;94;CC(C)(C)O;16.3199996948242;75-65-0;;pKa;SMILES
69;1449;CC(C)=NO;16.2999992370605;127-06-0;;pKa;SMILES
70;6354;CCN(CC)c1c(OC)ccc2ccc(OC)c(N(CC)CC)c21;16.2999992370605;67116-12-5;;pKa;SMILES
71;51;CCO;16.2900009155273;64-17-5;;pKa;SMILES
72;314;ON=C1CCCCC1;16.2000007629394;100-64-1;;pKa;SMILES
73;314;ON=C1CCCCC1;16.2000007629394;100-64-1;;pKa;SMILES
