SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source
Brc1ccccc2cc(-c3ccccc3)nc1-2;0;450;450;;639896;classBCRPsub;SMILES
C#CC(C)N(C(=O)CCl)c1ccccc1;0;1195;1195;;mol_0091;classBCRPsub;SMILES
C#CCN(Cc1ccc2nc(OC)c(OC)nc2c1)c1cc(OC)c(OC)c(OC)c1;0;936;936;;698048;classBCRPsub;SMILES
C#C[C@]1(O)CCC2C3CCc4cc(OS(=O)(=O)O)ccc4C3CC[C@@]21C;1;1532;1532;;mol_0337;classBCRPsub;SMILES
C#Cc1c(OC)ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)n[nH]c12;1;1270;1270;;mol_0396;classBCRPsub;SMILES
C#Cc1cccc(-n2c(O)ccc2O)c1;0;128;128;;634182;classBCRPsub;SMILES
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;1;1296;1296;;mol_0276;classBCRPsub;SMILES
C(#CC1(Nc2ccccc2)CCN(Cc2ccccc2)CC1)C1(Nc2ccccc2)CCN(Cc2ccccc2)CC1;0;914;914;;665299;classBCRPsub;SMILES
C(=C/c1ccc(-c2cn3cc(/C=C/C=N/NC4=NCCN4)ccc3n2)cc1)\C=N\NC1=NCCN1;0;1154;1154;;690242;classBCRPsub;SMILES
C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12;0;1063;1063;;337766;classBCRPsub;SMILES
C(=NNC1=NCCN1)c1c2ccccc2c(C=NNC2=NCCN2)c2ccccc12;1;1260;1260;;mol_0205;classBCRPsub;SMILES
C/C(=C\COc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1;0;1125;1125;;142227;classBCRPsub;SMILES
C/C(=C\c1csc(C)n1)C1CC2O[C@]2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1;0;1589;1589;;mol_0029;classBCRPsub;SMILES
C/C(=N\NC(=O)c1ccccc1O)c1cccc(/C(C)=N/NC(=O)c2ccccc2O)n1;0;196;196;;617573;classBCRPsub;SMILES
C/C(=N\NC(=S)N(C)C)c1cccc[n+]1[O-];0;198;198;;351078;classBCRPsub;SMILES
C/C(=N\NC(=S)N(Cc1ccccn1)Cc1ccccn1)c1cnccn1;0;151;151;;689537;classBCRPsub;SMILES
C/C(=N\NC(=S)N1CC2CCC(CC2)C1)c1nccs1;0;223;223;;354670;classBCRPsub;SMILES
C/C(=N\NC(=S)N1CCCCCC1)c1cccc[n+]1[O-];0;769;769;;351075;classBCRPsub;SMILES
C/C(=N\NC(=S)N1CCN(c2ccccn2)CC1)c1ncccn1;0;770;770;;374998;classBCRPsub;SMILES
C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1;1;1232;1232;;mol_0402;classBCRPsub;SMILES
C/C1=C/C(C)CC(C)OC(=O)C(C)NC(=O)C(Cc2ccc(O)c(Br)c2)N(C)C(=O)C(C)NC(=O)C(C)C1;0;393;393;;681481;classBCRPsub;SMILES
C/C1=C/C(C)CC(C)OC(=O)CC(c2ccc(O)cc2)NC(=O)C(Cc2c(Br)[nH]c3ccccc23)N(C)C(=O)C(C)NC(=O)C(C)C1;0;678;678;;613009;classBCRPsub;SMILES
C/C=C(\Cl)NOC(=O)Nc1ccc(F)c([N+](=O)[O-])c1;0;318;318;;693882;classBCRPsub;SMILES
C/C=C(\N=C=S)C(=O)OC1C(COC(C)=O)OC(C2(O)CC(=O)C(=N)C(C(=O)O)C2=O)C(O)C1OC1CC(OC)C(O)(C(C)OC(=O)C(C)CC)C(C)O1;0;336;336;;356207;classBCRPsub;SMILES
C/C=C/C1=C(Cl)C(=O)C(Cl)C1(O)C(=O)OC;0;110;110;;137442;classBCRPsub;SMILES
C/C=C/C1=CC(O)C(O)C1=O;0;816;816;;291308;classBCRPsub;SMILES
C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;0;1403;1403;;mol_0003;classBCRPsub;SMILES
C/C=C/c1cc2c(cc1O)CCC1C2CCC2(C)C(O)CCC12;0;587;587;;667047;classBCRPsub;SMILES
C/C=C1\C(=O)OC23C=CC4C(C(=O)OC)=COC(OC12)C43;1;39;39;;112152;classBCRPsub;SMILES
C/C=C1\CC2C(OC)Nc3cc(O)c(OC)cc3C(=O)N2C1;0;875;875;;177499;classBCRPsub;SMILES
C/C=C1\CC2C=Nc3cc(OCCCCCOc4cc5c(cc4OC)C(=O)N4C/C(=C/C)CC4C=N5)c(OC)cc3C(=O)N2C1;1;1291;1291;;mol_0488;classBCRPsub;SMILES
C/C=C1\NC(=O)C2CSSCC/C=C/C(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O;0;954;954;;630176;classBCRPsub;SMILES
C/N=C(\NC#N)NCCSCc1nc[nH]c1C;1;1520;1520;;mol_0229;classBCRPsub;SMILES
C/N=C1/C(=O)C(C(C)CCC=C(C)C)C(=O)C(=O)C1C;0;212;212;;697128;classBCRPsub;SMILES
C1=CNC=CC1;1;1259;1259;;mol_0498;classBCRPsub;SMILES
C1CN1c1nc(N2CC2)nc(N2CC2)n1;0;391;391;;9706;classBCRPsub;SMILES
C=C(C(=O)OC)c1cc2ccccc2n1S(=O)(=O)c1ccccc1;0;181;181;;693035;classBCRPsub;SMILES
C=C(C)C(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C(c4ccc(=O)oc4)CC4OC432)C1;0;1090;1090;;267712;classBCRPsub;SMILES
C=C(C)C12CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C(OC(C)=O)C(=O)C1(C)C(O)CC3OCC3(OC(C)=O)C1C2OC(=O)c1cc(F)cc(F)c1;0;933;933;;661746;classBCRPsub;SMILES
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1;0;1161;1161;;26258;classBCRPsub;SMILES
C=C(C)C1Cc2oc(cc2C(=O)OC)C(C(=C)C)C2OC(=O)/C(=C/C1O)C2N(C)C;0;117;117;;697273;classBCRPsub;SMILES
C=C(C)c1nc(Oc2ccccc2)nc(Oc2ccccc2)n1;0;877;877;;372146;classBCRPsub;SMILES
C=C(C=O)c1c2c(nc3ccccc13)C(=O)c1ccccc1C2=O;0;233;233;;694489;classBCRPsub;SMILES
C=C(CN(C)C)C(=O)c1cc(C)ccc1C;1;44;44;;382001;classBCRPsub;SMILES
C=C(CN(C)C)C(=O)c1cc(OC)c(OC)cc1OC;1;49;49;;382005;classBCRPsub;SMILES
C=C(CN(C)C)C(=O)c1ccc(C)cc1C;0;147;147;;382000;classBCRPsub;SMILES
C=C(CN(C)C)C(=O)c1ccc(OC)cc1;1;38;38;;603553;classBCRPsub;SMILES
C=C(CN(C)C)C(=O)c1ccc(OC2OC(COC(C)=O)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)cc1;1;52;52;;350629;classBCRPsub;SMILES
C=C(CN(C)C)C(=O)c1ccc(Oc2ccccc2)cc1;1;43;43;;603555;classBCRPsub;SMILES
C=C(CN(C)C)C(=O)c1ccc2c(c1)OCO2;1;101;101;;382006;classBCRPsub;SMILES
C=C(CN(C)C)C(=O)c1ccccc1;1;89;89;;382011;classBCRPsub;SMILES
C=C(CN(C)C)C(=O)c1ccccc1OC;1;14;14;;382003;classBCRPsub;SMILES
C=C(CN(C)C)C(=O)c1ccccc1[N+](=O)[O-];0;119;119;;34821;classBCRPsub;SMILES
C=C(Cl)C(Cl)(CBr)CCC(Br)C(C)(C)Cl;0;1164;1164;;662825;classBCRPsub;SMILES
C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)C4NC(=O)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)/C(=C/C)NC(=O)C(C(C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(=C)NC(=O)C(C(C)C)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)OC4C)n1)C(N)=O;0;278;278;;285116;classBCRPsub;SMILES
C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)C4NC(=O)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)/C(=C/C)NC(=O)C(C(C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)CC)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)OC4C)n1)C(N)=O;0;823;823;;170365;classBCRPsub;SMILES
C=C(c1ccccc1)C1(O)CCC1N(CC#N)Cc1ccccc1;0;641;641;;617644;classBCRPsub;SMILES
C=C1C(=O)C23C(O)C1CCC2C12CCCC(C)(COC(C)=O)C1C(O)C3(O)OC2;0;135;135;;642099;classBCRPsub;SMILES
C=C1C(=O)C23CCC4C5(C)CCCC4(OC5=O)C2(C)CCC1C3;0;249;249;;690290;classBCRPsub;SMILES
C=C1C(=O)C=C2C=C3C(=O)C(C)(C)CC3(O)C12C;0;122;122;;648322;classBCRPsub;SMILES
C=C1C(=O)OC2/C=C(/C)CC(O)/C=C(/CO)CC(OC(=O)/C(C)=C/C)C12;0;145;145;;283440;classBCRPsub;SMILES
C=C1C(=O)OC2/C=C(/C)CC3C=C(CC/C=C(/C)CCC12)C(=O)O3;0;607;607;;156130;classBCRPsub;SMILES
C=C1C(=O)OC2/C=C(CO)\C=C/C3OC3(C)CC(OC(=O)/C(C)=C/COC(C)=O)C12;0;189;189;;354049;classBCRPsub;SMILES
C=C1C(=O)OC2/C=C(\CO)C3OC3C3OC3(C)CC(OC(=O)/C(=C/C)COC(C)=O)C12;1;86;86;;354051;classBCRPsub;SMILES
C=C1C(=O)OC2/C=C(\COC(C)=O)CCC(OC(C)=O)C3=CC(OC3=O)C12;0;176;176;;302035;classBCRPsub;SMILES
C=C1C(=O)OC2C(O)C(C)C3C=CC(=O)C3(C)C(OC(=O)/C(C)=C/C)C12;0;304;304;;265203;classBCRPsub;SMILES
C=C1C(=O)OC2C/C(C)=C\CC/C(C)=C\CCC(C)(O)C(I)CC12;0;428;428;;697265;classBCRPsub;SMILES
C=C1C(=O)OC2C/C(C)=C\CCC3(C)OC(C)(CCC3I)C(I)CC12;1;85;85;;697268;classBCRPsub;SMILES
C=C1C(=O)OC2C1C(OC(=O)C=C(C)C)CC1=CC(CC3(C)OC23)OC1=O;0;231;231;;102817;classBCRPsub;SMILES
C=C1C(=O)OC2C1CC(I)C1(C)CCC(O1)C(C)(I)CCCC(C)C2O;1;1;1;;697264;classBCRPsub;SMILES
C=C1C(=O)OC2C1CC/C(C)=C\CCC1(C)OC21;0;560;560;;157035;classBCRPsub;SMILES
C=C1C(=O)OC2C1CC1OC1(C)CC/C=C(/C)CCCC(C)C2O;1;3;3;;694509;classBCRPsub;SMILES
C=C1C(=O)OC2C1CC1OC2C(C)CCC/C(C)=C/CCC1(C)O;0;305;305;;282752;classBCRPsub;SMILES
C=C1C(=O)OC2C1CCC(C)C1C=CC(=O)C12C;0;498;498;;85235;classBCRPsub;SMILES
C=C1C(=O)OC2CC(C)C3C4OC4C(O)C3(C)C(O)C12;0;432;432;;249995;classBCRPsub;SMILES
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3CC12;0;190;190;;264054;classBCRPsub;SMILES
C=C1C(=O)OC2CC1CCC1(C)OC1CC/C(C)=C\CCC2(C)O;1;98;98;;285706;classBCRPsub;SMILES
C=C1C(=O)OC2CC3(C)OC3CC/C(C)=C\C(OC(C)=O)C12;0;144;144;;22070;classBCRPsub;SMILES
C=C1C(=O)OCC2C(C(=O)O)=CC3C(C)C(C)=CC123;0;1033;1033;;145150;classBCRPsub;SMILES
C=C1C(C)C2C(Cc3ccccc3)NC(=O)C23C(OC(C)=O)/C=C\C(C)(O)C(=O)C(C)C/C=C\C3C1O;0;807;807;;209835;classBCRPsub;SMILES
C=C1C(C)C2C(Cc3ccccc3)NC(=O)C23C(OC(C)=O)/C=C\C(C)(O)CC(C)C/C=C\C3C1O;0;403;403;;305222;classBCRPsub;SMILES
C=C1C(C)C2C(Cc3ccccc3)NC(=O)C23OC(=O)/C=C\C(O)CCCC(C)C/C=C\C3C1O;0;605;605;;107658;classBCRPsub;SMILES
C=C1C(C)C2C(Cc3ccccc3)NC(=O)C23OC(=O)/C=C\CC(=O)CCC(C)C/C=C/C3C1O;0;126;126;;174119;classBCRPsub;SMILES
C=C1C(OCC(C)C)C(O)C(OC(=O)c2cccnc2)C(C)(C)/C=C\C(C)C(OC(C)=O)C2(O)CC(C)(OC(C)=O)C(OC(=O)c3ccccc3)C2C1OC(C)=O;0;1025;1025;;688235;classBCRPsub;SMILES
C=C1C(OCC(C)C)C(OC(=O)C(C)CC)C(O)C(C)(C)/C=C\C(C)C(=O)C2(O)CC(C)C(O)C2C1OC(=O)C(C)CC;0;1175;1175;;688220;classBCRPsub;SMILES
C=C1CC/C=C(/C)CCCC(C)C(O)C2OC(=O)C(=C)C2CC1O;0;132;132;;694075;classBCRPsub;SMILES
C=C1CC2(CC(c3ccccc3)OC(c3ccccc3)C2)OC1=O;0;465;465;;617128;classBCRPsub;SMILES
C=C1CC2(CC(c3ccccc3C)OC(c3ccccc3C)C2)OC1=O;0;1077;1077;;617131;classBCRPsub;SMILES
C=C1CC2(CC(c3ccccc3Cl)OC(c3ccccc3Cl)C2)OC1=O;0;1061;1061;;617129;classBCRPsub;SMILES
C=C1CC2(CC(c3ccccc3OC)OC(c3ccccc3OC)C2)OC1=O;0;904;904;;617130;classBCRPsub;SMILES
C=C1CC2(OC1=O)c1ccccc1C=Cc1ccccc12;0;173;173;;637828;classBCRPsub;SMILES
C=C1CC2(OC1=O)c1ccccc1CCc1ccccc12;0;554;554;;637827;classBCRPsub;SMILES
C=C1CC2C=Nc3cc(OCCCCCOc4cc5c(cc4OC)C(=O)N4CC(=C)CC4C=N5)c(OC)cc3C(=O)N2C1;1;1292;1292;;mol_0487;classBCRPsub;SMILES
