ID;orig_ID;SMILES;y;CAS;NAME;UNITS;smiles_source
0;;CC1(C)CC23C4COC(=O)C2CCC1C3CC4=O;1;;284437;classBSEPsub;SMILES
1;;C=CCn1c2ccccc2c2c(C)c3cnccc3c(C)c21;1;;150834;classBSEPsub;SMILES
2;;CC1=CC(=O)C(C)=CC1=O;1;;15309;classBSEPsub;SMILES
3;;CC(=O)OC1CC2(O)C(CCC3(C)C(c4ccc(=O)oc4)CCC32O)C2(C)C1=CC(O)C1OC12;1;;117180;classBSEPsub;SMILES
4;;O=C1C(CO)=CC(O)C2OC12;1;;326233;classBSEPsub;SMILES
5;;COC1=CC(=O)C=C(OC)C1=O;1;;24500;classBSEPsub;SMILES
6;;Cc1c2ccnc(C(N)=O)c2c(C)c2c1[nH]c1ccccc12;1;;335142;classBSEPsub;SMILES
7;;C=C1C(=O)OC2C1CC/C(C)=C\CCC1(C)OC21;1;;157035;classBSEPsub;SMILES
8;;CN(C)CC1CCC(CN(C)C)C(=O)C1=O;1;;651593;classBSEPsub;SMILES
9;;C=C1C(=O)OC2CC1CCC1(C)OC1CC/C(C)=C\CCC2(C)O;1;;285706;classBSEPsub;SMILES
10;;Cc1c(O)c(O)c2c(c1O)O2;1;;294734;classBSEPsub;SMILES
11;;Cc1c2cnccc2c(C)c2c1c1ccccc1n2CCOC(=O)c1ccccc1;1;;163443;classBSEPsub;SMILES
12;;COC1=CC(=O)c2c(c(O)c3oc4cc(OC)cc(C)c4c(=O)c3c2O)C1=O;1;;215139;classBSEPsub;SMILES
13;;CC1CSC(=S)N1C(=O)N1C(=S)SCC1C;1;;654968;classBSEPsub;SMILES
14;;C=CCCCCn1c2ccccc2c2c(C)c3cnccc3c(C)c21;1;;162907;classBSEPsub;SMILES
15;;COc1ccc2c(c1O)-c1cc(O)cc3c1C(C2)N(C)CC3;1;;43486;classBSEPsub;SMILES
16;;C=C1C(=O)OC2/C=C(/C)CC3C=C(CC/C=C(/C)CCC12)C(=O)O3;1;;156130;classBSEPsub;SMILES
17;;O=C1C2CCN(CC2)C1CN1CCOCC1;1;;150094;classBSEPsub;SMILES
18;;CCCCCCCC/C=C/CCCCCCCC(=O)O;1;;9856;classBSEPsub;SMILES
19;;COc1ccc2[nH]c3c4c(ccc3c2c1)C(=O)C=CC4=O;1;;641395;classBSEPsub;SMILES
20;;CC(=O)OCC1C(=O)OCC1C(=O)N1Cc2cc3ccccc3nc2C1;1;;138333;classBSEPsub;SMILES
21;;COc1cc2c(cc1OC)-c1c3c(cc4c1C(C2)N(C)CC4)OCO3;1;;251699;classBSEPsub;SMILES
22;;O=C1C=CC(=O)c2c1ccc1c3ccccc3n(-c3ccccc3)c21;1;;641394;classBSEPsub;SMILES
23;;[C-]#[N+]/C=C/c1cc(O)ccc1O;1;;632129;classBSEPsub;SMILES
24;;CCN(CC)CCSc1c2ccccc2nc2c(OC)ccc(OC)c12;1;;625985;classBSEPsub;SMILES
25;;CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CC(O)C(O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)C1C(=O)OC;1;;265211;classBSEPsub;SMILES
26;;O=C1C=C2C(=CCOC2O)O1;1;;8120;classBSEPsub;SMILES
27;;O=C1c2ccccc2C(=O)c2c1ccc1c3ccccc3n(-c3ccccc3)c21;1;;641393;classBSEPsub;SMILES
28;;CC12CC(Br)(Br)C(=O)C3C1CCCC32;1;;624358;classBSEPsub;SMILES
29;;COc1ccc2nc(CI)c(CI)nc2c1;1;;144173;classBSEPsub;SMILES
30;;COc1ccc2c(c1)c1ccc3c(c1n2C)C(=O)C=CC3=O;1;;641396;classBSEPsub;SMILES
31;;CC(C)(C)C(=O)OCC1C(=O)OCC1C(=O)N1Cc2cc3ccccc3nc2C1;1;;653547;classBSEPsub;SMILES
32;;CCCC/C=C1\CCC(CN2CCOCC2)C1=O;1;;649904;classBSEPsub;SMILES
33;;CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3;1;;639661;classBSEPsub;SMILES
34;;O=C1C=CC(=O)c2c(O)ccc(O)c21;1;;26647;classBSEPsub;SMILES
35;;CC1=NCCc2cc3[nH]c4ccccc4c3cc21;1;;141527;classBSEPsub;SMILES
36;;COc1cc2c(c(O)c1C)C(=O)C(Cl)=CC2=O;1;;620515;classBSEPsub;SMILES
37;;CCC1=CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13;1;;102004;classBSEPsub;SMILES
38;;CC(=O)/C=C/c1c[nH]c(=O)[nH]c1=O;1;;207111;classBSEPsub;SMILES
39;;CN(C)C1C(=O)C(C(=O)NCNc2nc3nn[nH]c3c(=O)[nH]2)C(=O)C2(O)C(=O)C3C(=O)c4c(O)cccc4C(C)(O)C3CC12;1;;67586;classBSEPsub;SMILES
40;;CC(C)=CCc1c(C)cc2cc3c(c(O)c2c1O)C(=O)CC(=O)C3(CC=C(C)C)C/C=C(\C)CO;1;;372452;classBSEPsub;SMILES
41;;CNC(=O)OCc1nc(SSC(C)(C)C)n(C)c1COC(=O)NC;1;;623925;classBSEPsub;SMILES
42;;O=S1(=O)CCC2=CC(C(F)(F)F)=CC(C(F)(F)F)=CN21;1;;605440;classBSEPsub;SMILES
43;;O=C1C=C(Br)C(=O)C12CCc1ccccc12;1;;622984;classBSEPsub;SMILES
44;;N=c1nc(N)c2cc3c(N)nc(=N)c3cc12;1;;619860;classBSEPsub;SMILES
45;;CCOC(=O)C(C)NC(=O)N(C)C12CC3CC(CC(C3)C1)C2;1;;208913;classBSEPsub;SMILES
46;;C=C1C(=O)OC2C1CC1OC1(C)CC/C=C(/C)CCCC(C)C2O;1;;694509;classBSEPsub;SMILES
47;;COC(=O)C1C(O)C(C)C(O)C(C)/C=C/C=C(\C)C(=O)Nc2c(C)c(OC(C)=O)c3c(c2O)C(=O)C(C)=C2OCOC(=C23)/C(C)=C\C(C)(O)C(O)C(C)C1O;1;;210760;classBSEPsub;SMILES
48;;CC(=O)OCc1cc(=O)n(C)c2c3c4c(cc12)c(C)cc(=O)n4CO3;1;;157004;classBSEPsub;SMILES
49;;N#CC(C#N)C1CCC=C(Sc2ccccc2)C1Sc1ccccc1;1;;696891;classBSEPsub;SMILES
50;;CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12;1;;142982;classBSEPsub;SMILES
51;;Cc1ccc2[nH]c3c(C)c4ccncc4c(C)c3c2c1;1;;98949;classBSEPsub;SMILES
52;;Nc1ncnc2nc[nH]c12;1;;14666;classBSEPsub;SMILES
53;;Cc1c2cnccc2c(C)c2c1c1ccccc1n2CCCCCCNCc1ccccc1;1;;164017;classBSEPsub;SMILES
54;;COc1ccc(/C=C2/CCC(CN(C)C)C2=O)cc1OC;1;;639516;classBSEPsub;SMILES
55;;CCC(=O)OCOc1ccc(/C=C2\CCC(CN(C)C)C2=O)cc1;1;;639514;classBSEPsub;SMILES
