ID;NAME;CAS;CAS.Checksum;DSSTox.GSID;SMILES;All.Compound.Names;logMA;logMA.Reference;logP;logP.Reference;logPwa;logPwa.Reference;MW;MW.Reference;pKa_Accept;pKa_Accept.Reference;pKa_Donor;pKa_Donor.Reference;All.Species;DSSTox.GSID.Reference;Human.Clint;Human.Clint.pValue;Human.Clint.pValue.Reference;Human.Clint.Reference;Human.Fgutabs;Human.Fgutabs.Reference;Human.Funbound.plasma;Human.Funbound.plasma.Reference;Human.Rblood2plasma;Human.Rblood2plasma.Reference;Rat.Clint;Rat.Clint.pValue;Rat.Clint.pValue.Reference;Rat.Clint.Reference;Rat.Fgutabs;Rat.Fgutabs.Reference;Rat.Funbound.plasma;Rat.Funbound.plasma.Reference;Rat.Rblood2plasma;Rat.Rblood2plasma.Reference;SMILES.desalt.Reference;smiles_source;orig_ID;experimental_column;UNITS
0;2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane (hpte);2971-36-0;True;22325.0;Oc1ccc(cc1)C(c2ccc(O)cc2)C(Cl)(Cl)Cl;2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane (hpte)|2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane;;;4.55;EPISuite;10.53643976656019;EPISuite;317.5949;DSSTox;;Strope in prep.;9.97,10.01;Strope in prep.;Human;DSSTox;136.5009365;3.57e-05;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
1;2,4-d;94-75-7;True;20442.0;Clc1cc(Cl)ccc1OCC(=O)O;2,4-d|Dichlorophenoxy|2,4-dichlorophenoxyacetic acid;;;2.8;TNO;5.525351641539202;EPISuite;221.04;TNO;;TNO;2.73;TNO;Human|Rat;DSSTox;0.0;0.148776104444472;Wetmore 2012;Wetmore 2012;;;0.040012841774996;Wetmore 2012;2.11;TNO;0.0;0.1365;Wetmore 2013;Wetmore 2013;;;0.029757510744227;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
2;2,4-db;94-82-6;True;24035.0;Clc1cc(Cl)ccc1OCCCC(=O)O;2,4-db|4-(2,4-dichlorophenoxy)butyric acid;;;3.53;EPISuite;6.684582810149615;EPISuite;249.0906;DSSTox;;Strope in prep.;4.5;Strope in prep.;Human;DSSTox;0.0;0.103750817;Wetmore 2012;Wetmore 2012;;;0.006623316685622;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
3;2-phenylphenol;90-43-7;True;21151.0;Oc2ccccc2c1ccccc1;2-phenylphenol;3.46;Endo 2011;3.09;EPISuite;3.9945751267551275;EPISuite;170.2072;DSSTox;;Strope in prep.;10.6;Strope in prep.;Human;DSSTox;2.07714058;0.163529895;Wetmore 2012;Wetmore 2012;;;0.041052282134499;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
4;6-desisopropylatrazine;1007-28-9;True;37495.0;Nc1nc(NCC)nc(Cl)n1;6-desisopropylatrazine|Deisopropylatrazine;;;1.15;EPISuite;6.952815419687317;EPISuite;173.6035;DSSTox;1.59;Strope in prep.;;Strope in prep.;Human;DSSTox;0.0;0.538732829;Wetmore 2012;Wetmore 2012;;;0.458844453309398;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
5;Abamectin;71751-41-2;True;23892.0;CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)O[C@@H]2[C@@H](OC)C[C@@H](O[C@H]2C)O[C@@H]3C(C)=CC[C@@H]6C[C@H](OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OCC(=CC=C[C@@H]3C)[C@@]45O)C[C@@]7(O6)C=C[C@H](C)[C@H](O7)[C@@H](C)CC;Abamectin;;;4.48;Tonnelier 2012;30.489299869864308;EPISuite;819.01;Tonnelier 2012;;Strope in prep.;13.4;Strope in prep.;Human;DSSTox;5.240362512;0.000917;Wetmore 2012;Wetmore 2012;;;0.066868173095345;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
6;Acephate;30560-19-1;True;23846.0;O=C(C)NP(=O)(OC)SC;Acephate;;;-0.85;EPISuite;10.345207568663936;EPISuite;183.1659;DSSTox;;Strope in prep.;7.89;Strope in prep.;Human;DSSTox;0.0;0.000143;Wetmore 2012;Wetmore 2012;;;0.868373334783902;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
7;Acetamiprid;135410-20-7;True;34300.0;Clc1ccc(CN(C)C(/C)=NC#N)cn1;Acetamiprid;;;2.55;Tonnelier 2012;5.234374338664023;EPISuite;222.07;Tonnelier 2012;0.354;Strope in prep.;;Strope in prep.;Human;DSSTox;0.0;0.998318849618624;Wetmore 2012;Wetmore 2012;;;0.573218698419059;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
8;Acetochlor;34256-82-1;True;23848.0;ClCC(=O)N(COCC)c1c(C)cccc1CC;Acetochlor;;;4.14;TNO;5.661008950768945;EPISuite;269.77;TNO;;TNO;;TNO;Human|Rat;DSSTox;84.7136122263109;0.018930351126271;Wetmore 2012;Wetmore 2012;;;0.159832580334135;Wetmore 2012;0.869117504645961;TNO;59.28;9e-05;Wetmore 2013;Wetmore 2013;;;0.192294566261224;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
9;Acifluorfen;50594-66-6;True;20022.0;Clc2cc(ccc2Oc1cc(C(=O)O)c(cc1)[N+]([O-])=O)C(F)(F)F;Acifluorfen;;;4.550000000000001;TNO;8.206505638111686;EPISuite;361.66;TNO;;TNO;2.03;TNO;Human|Rat;DSSTox;1.767857721;0.017486091;Wetmore 2012;Wetmore 2012;;;0.0;Wetmore 2012;0.643600035440791;TNO;0.0;0.2084;Wetmore 2013;Wetmore 2013;;;0.004729356412099;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
