ID;orig_ID;SMILES;y;CAS;NAME;UNITS;smiles_source
0;CHEMBL166269;C(Oc1ccccc1)[C@@H]2CC[C@H]3CN(CCN3C2)c4ncccn4;1;;;classHLM;SMILES
1;CHEMBL159903;Fc1ccc(OC[C@@H]2CC[C@H]3CN(CCN3C2)c4ncccn4)cc1;1;;;classHLM;SMILES
2;CHEMBL66227;Fc1ccc(OC[C@@H]2CC[C@H]3CN(CCN3C2)c4ncc(F)cn4)cc1;1;;;classHLM;SMILES
3;CHEMBL291339;Cl.CCCCCCSc1nccnc1O[C@H]2CN3CCC2C3;0;;;classHLM;SMILES
4;CHEMBL126493;Cc1ccc(N2CCN(C[C@@H]3C[C@H]3c4ccccc4)CC2)c(C)c1;1;;;classHLM;SMILES
5;CHEMBL302075;Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c4ccccc4)CC2)c(Cl)c1;1;;;classHLM;SMILES
6;CHEMBL341489;COc1cc2c(ncnc2cc1OCCN3CCSCC3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;1;;;classHLM;SMILES
7;CHEMBL125431;COc1cc2c(ncnc2cc1OCCCN3CCCC(F)(F)C3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;1;;;classHLM;SMILES
8;CHEMBL333648;COc1cc2c(ncnc2cc1OCCN3CCC(=O)CC3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;1;;;classHLM;SMILES
9;CHEMBL127731;COc1cc2c(ncnc2cc1OCCCN3CCC(F)(F)CC3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;1;;;classHLM;SMILES
10;CHEMBL125717;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(Oc5ccccc5)cc4)c2cc1OCCOC;1;;;classHLM;SMILES
11;CHEMBL125721;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(Oc5ccc(cc5)C(C)(C)C)cc4)c2cc1OCCOC;1;;;classHLM;SMILES
12;CHEMBL341239;COCCOc1cc2c(ncnc2cc1OCCN3CCCCC3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;1;;;classHLM;SMILES
13;CHEMBL124089;COc1cc2c(ncnc2cc1OCCCN3CCC(F)(F)CC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;1;;;classHLM;SMILES
14;CHEMBL340157;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(Oc5cccc6NCCc56)cc4)c2cc1OCCOC;1;;;classHLM;SMILES
15;CHEMBL125277;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(Oc5cccc6[nH]ccc56)cc4)c2cc1OCCOC;1;;;classHLM;SMILES
16;CHEMBL341258;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(cc4)C(C)(C)C)c2cc1OCCOC;1;;;classHLM;SMILES
17;CHEMBL125811;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(Oc5cccc6ncccc56)cc4)c2cc1OCCOC;1;;;classHLM;SMILES
18;CHEMBL340137;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(Oc5ccc(C)cc5)cc4)c2cc1OCCOC;1;;;classHLM;SMILES
19;CHEMBL125761;COc1cc2c(ncnc2cc1OCCCN3CCOCC3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;1;;;classHLM;SMILES
20;CHEMBL123928;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(Oc5cccc6cnccc56)cc4)c2cc1OCCOC;1;;;classHLM;SMILES
21;CHEMBL125028;COc1cc2c(ncnc2cc1OCCn3ccnn3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;1;;;classHLM;SMILES
22;CHEMBL125805;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(Oc5ccc(Br)cc5)cc4)c2cc1OCCOC;1;;;classHLM;SMILES
23;CHEMBL340284;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(Oc5ccc6ccccc6c5)cc4)c2cc1OCCOC;1;;;classHLM;SMILES
24;CHEMBL124949;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(Oc5ccc6[nH]ccc6c5)cc4)c2cc1OC;1;;;classHLM;SMILES
25;CHEMBL125898;COc1cc2c(ncnc2cc1OCCCN3CCOCC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;1;;;classHLM;SMILES
26;CHEMBL126699;COc1cc2c(ncnc2cc1OCCCN3CCCCC3C)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;1;;;classHLM;SMILES
27;CHEMBL124439;COc1cc2c(ncnc2cc1OCCCC3CCCCC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
28;CHEMBL339403;COc1cc2c(ncnc2cc1OCCCS(=O)(=O)CCC(C)C)N3CCN(CC3)C(=O)Nc4ccc(OC(C)C)cc4;0;;;classHLM;SMILES
29;CHEMBL59735;COc1cc2c(ncnc2cc1OCCCS(=O)(=O)CC(C)C)N3CCN(CC3)C(=O)Nc4ccc(OC(C)C)cc4;0;;;classHLM;SMILES
30;CHEMBL121829;COCCOc1ccc2c(ncnc2c1)N3CCN(CC3)C(=O)Nc4ccc(Oc5ccc6[nH]ccc6c5)cc4;0;;;classHLM;SMILES
31;CHEMBL339685;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(Oc5ccccc5)cc4)c2cc1OC;0;;;classHLM;SMILES
32;CHEMBL124487;COCCOc1cc2c(ncnc2cc1OCCN3CCCCC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
33;CHEMBL340235;COc1cc2c(ncnc2cc1OCCN3CCCCC3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;0;;;classHLM;SMILES
34;CHEMBL340431;COc1cc2c(ncnc2cc1OCCN3CCC4(CC3)OCCO4)N5CCN(CC5)C(=O)Nc6ccc(cc6)C#N;0;;;classHLM;SMILES
35;CHEMBL124895;COc1cc2c(ncnc2cc1OCCN3CCOCC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
36;CHEMBL340439;COc1cc2c(ncnc2cc1OCCn3nccn3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
37;CHEMBL125171;CCCCS(=O)(=O)CCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(OC(C)C)cc4)c2cc1OC;0;;;classHLM;SMILES
38;CHEMBL124243;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(cc4)C#N)c2cc1OCCOC;0;;;classHLM;SMILES
39;CHEMBL125994;COCCOc1cc2c(ncnc2cc1OCCN3CCCC3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;0;;;classHLM;SMILES
40;CHEMBL445636;COc1cc2c(ncnc2cc1OCCCN3CCC(C)CC3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;0;;;classHLM;SMILES
41;CHEMBL127748;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(cc4)C#N)c2cc1OC;0;;;classHLM;SMILES
42;CHEMBL127753;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(cc4)C#N)c2cc1OCCN5CCCCC5;0;;;classHLM;SMILES
43;CHEMBL444064;COc1cc2c(ncnc2cc1OCCN3CCCCC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
44;CHEMBL125451;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(OC(C)C)cc4)c2cc1OCCOC;0;;;classHLM;SMILES
45;CHEMBL125445;COc1cc2c(ncnc2cc1OCCN3CCN(C)CC3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;0;;;classHLM;SMILES
46;CHEMBL107599;COc1cc2c(ncnc2cc1OCCCN3CCCCC3C)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
47;CHEMBL125367;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(OC(C)C)cc4)c2cc1OCCN5CCCCC5;0;;;classHLM;SMILES
48;CHEMBL330863;COc1cc2c(ncnc2cc1OCCCN3CCC(C)CC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
49;CHEMBL124035;COCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(OC(C)C)cc4)c2cc1OC;0;;;classHLM;SMILES
50;CHEMBL338597;COc1cc2c(ncnc2cc1OCCCN3CCCCC3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;0;;;classHLM;SMILES
51;CHEMBL127786;COc1cc2c(ncnc2cc1OCCn3ncnn3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
52;CHEMBL122572;COc1cc2c(ncnc2cc1OCCN3CCCC3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;0;;;classHLM;SMILES
53;CHEMBL340144;CCS(=O)(=O)CCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(OC(C)C)cc4)c2cc1OC;0;;;classHLM;SMILES
54;CHEMBL124660;COc1cc2c(ncnc2cc1OCCCN3CCCCC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
55;CHEMBL338330;COCCOc1cc2c(ncnc2cc1OCCN3CCCC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
56;CHEMBL124369;CCCS(=O)(=O)CCCOc1cc2ncnc(N3CCN(CC3)C(=O)Nc4ccc(OC(C)C)cc4)c2cc1OC;0;;;classHLM;SMILES
57;CHEMBL340234;COc1cc2c(ncnc2cc1OCCCN(C)C)N3CCN(CC3)C(=O)Nc4ccc(OC(C)C)cc4;0;;;classHLM;SMILES
58;CHEMBL127429;COc1cc2c(ncnc2cc1OCCn3ccnn3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
59;CHEMBL124073;COc1cc2c(ncnc2cc1OCCCn3nccn3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
60;CHEMBL126173;COc1cc2c(ncnc2cc1OCCCn3ccnn3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
61;CHEMBL123667;COc1cc2c(ncnc2cc1OCCCN3CCCC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5;0;;;classHLM;SMILES
62;CHEMBL124827;COc1cc2c(ncnc2cc1OCCCN3CCCC3)N4CCN(CC4)C(=O)Nc5ccc(cc5)C#N;0;;;classHLM;SMILES
63;CHEMBL311395;OC(=O)Cc1ccccc1OCCC2Oc3ccccc3N(Cc4ccc(Cl)cc4)C2=O;0;;;classHLM;SMILES
64;CHEMBL129542;C(COc1ccc(CN2CCCCC2)cc1)CN3CCCCC3;0;;;classHLM;SMILES
65;CHEMBL59532;Cc1sc(N)c(C(=O)c2cccc(c2)C(F)(F)F)c1C;1;;;classHLM;SMILES
66;CHEMBL127476;Nc1sc2CCCCc2c1C(=O)c3ccc4ccccc4c3;1;;;classHLM;SMILES
67;CHEMBL61547;Nc1sc2CCCCc2c1C(=O)c3ccc(cc3)c4ccccc4;1;;;classHLM;SMILES
68;CHEMBL319669;CONC(=N)c1ccc(cc1)c2oc(cc2)c3ccc(cc3)C(=N)NOC;1;;;classHLM;SMILES
69;CHEMBL102830;CCONC(=N)c1ccc(cc1)c2oc(cc2)c3ccc(cc3)C(=N)NOCC;0;;;classHLM;SMILES
