SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source
C#CCCOC(=O)Nc1ccc2c(c1)sc1cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc12;0;1083;CHEMBL563407;;;classHLM;SMILES
C#CCN1CCN(C(c2ccc(F)cc2)c2nnnn2Cc2ccccc2)CC1;1;1407;CHEMBL1223010;;;classHLM;SMILES
C#CC[C@]1(C)CN(C2CCCC2)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C1O;0;950;CHEMBL582802;;;classHLM;SMILES
C#Cc1ccc(Nc2c(C(=O)NOCCO)c3c(n2C)C(=O)CC3)c(F)c1;0;2665;CHEMBL2012901;;;classHLM;SMILES
C#Cc1ccc(Nc2c(C(=O)NOCCO)c3c(n2C)C(=O)CCC3)c(F)c1;0;2551;CHEMBL2012899;;;classHLM;SMILES
C#Cc1ccc(Nc2c(C(=O)NOCCO)c3n(c(=O)c2F)CCC3)c(F)c1;0;2684;CHEMBL2012906;;;classHLM;SMILES
C#Cc1ccc(Nc2c(C(=O)NOCCO)cc(/C=N/OCCO)c(F)c2F)c(F)c1;0;2088;CHEMBL1684486;;;classHLM;SMILES
C#Cc1ccc(Nc2c(C(=O)NOC[C@H](O)CO)c3c(n2C)C(=O)CCC3)c(F)c1;0;2838;CHEMBL2012900;;;classHLM;SMILES
C#Cc1ccc(Nc2c(F)c(=O)n(C)c3ncn(C[C@@H](O)CO)c(=O)c23)c(F)c1;0;2017;CHEMBL1684069;;;classHLM;SMILES
C#Cc1cccc(-c2ccc(CN3CCN(C)CC3)o2)c1Cc1ccc2c(c1C)C=CC2;1;814;CHEMBL570865;;;classHLM;SMILES
C#Cc1cnc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O;0;2365;CHEMBL1650422;;;classHLM;SMILES
C/C(=C\c1nn(CCC(C)C)c(=O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1O)C(F)(F)F;1;492;CHEMBL258899;;;classHLM;SMILES
C/C(CCCCN1C(=O)C(CCOc2ccccc2CC(=O)O)Oc2ccccc21)=N\O;0;80;CHEMBL177755;;;classHLM;SMILES
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C;1;2528;CHEMBL160;;;classHLM;SMILES
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@@H](SCCN(C)C)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C;0;1557;CHEMBL1213341;;;classHLM;SMILES
C/C=C/[C@H]1CN(C(=O)c2cc(-c3ccc(F)cc3)on2)[C@@H](CC(C)C)C(=O)N1;1;3434;CHEMBL3120414;;;classHLM;SMILES
C/N=c1/c(S(=O)(=O)c2ccccc2)c(SC)nc2ccccn12;1;3393;CHEMBL3113355;;;classHLM;SMILES
C1=C/CN(C2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1;0;2792;CHEMBL1944701;;;classHLM;SMILES
C1=C/CNCc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1;0;2585;CHEMBL1947162;;;classHLM;SMILES
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1;0;2796;CHEMBL2035185;;;classHLM;SMILES
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1;0;2786;CHEMBL2035183;;;classHLM;SMILES
