ID;orig_ID;idx_separated;SMILES;Index;Binary_Characterization;old_ID;subset;NAME;Characterization;smiles_source;experimental_column;UNITS
0;0;0;CNNC;1.0;0;N(NC)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1;1;1;CC1(C)C(=O)C2OC2[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;2.0;0;O1[C@H]([C@@]2([C@@]3(O[C@@H]3C1=O)[C@]1([C@H](CC2)[C@@]2([C@H](CC1=O)C(C)(C)C(=O)[C@@H]1O[C@@H]12)C)C)C)c1ccoc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
2;2;2;CC1(C)C(=O)C2OC2[C@@]2(C)C1C[C@@H](O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;3.0;1;O1[C@H]([C@]2([C@]3(O[C@H]3C1=O)[C@]1([C@H](CC2)[C@@]2([C@@H](C[C@H]1O)C(C)(C)C(=O)[C@@H]1O[C@@H]12)C)C)C)c1ccoc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
3;3;3;COc1cc(OC)cc(OC)c1;4.0;0;O(C)c1cc(OC)cc(OC)c1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
4;4;4;CC1(C)C(O)CC(O)[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;5.0;0;O1[C@H]([C@]2([C@]3(O[C@H]3C1=O)[C@]1([C@H](CC2)[C@]2([C@@H](CC1=O)C(C)(C)[C@H](O)C[C@@H]2O)C)C)C)c1ccoc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
5;5;5;CC(=O)O[C@@H]1C[C@H]2C(C)(C)[C@H](O)C[C@H](O)[C@@]2(C)[C@H]2CC[C@]3(C)C(=CC(=O)O[C@@H]3c3ccoc3)[C@@]12C;6.0;0;O1[C@@H]([C@]2(C(=CC1=O)[C@@]1([C@H](CC2)[C@]2([C@@H](C[C@H]1OC(=O)C)C(C)(C)[C@H](O)C[C@@H]2O)C)C)C)c1ccoc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
6;6;6;CCCn1c(=O)c2nc(C3CCCC3)[nH]c2n(CCC)c1=O;7.0;0;O=C1N(CCC)C(=O)N(c2[nH]c(nc12)C1CCCC1)CCC;training;;;SMILES;Binary_Characterization;classOATP1B3inh
7;7;7;Cc1cc(O)c2c(c1O)C(=O)c1c(O)cc(C)c(O)c1C2=O;8.0;0;Oc1c2c(C(=O)c3c(C2=O)c(O)cc(C)c3O)c(O)cc1C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
8;8;8;CC1(C)C(O)CC(=O)[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;9.0;0;O1[C@H]([C@@]2([C@@]3(O[C@@H]3C1=O)[C@]1([C@H](CC2)[C@@]2([C@@H](CC1=O)C(C)(C)[C@H](O)CC2=O)C)C)C)c1ccoc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
9;9;9;CC(=O)OC1CC(=O)[C@]2(C)C(CC(=O)[C@]3(C)[C@@H]2CC[C@@]2(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@@]423)C1(C)C;10.0;0;O1[C@H]([C@]2([C@]3(O[C@H]3C1=O)[C@@]1([C@H](CC2)[C@@]2([C@@H](CC1=O)C(C)(C)[C@H](OC(=O)C)CC2=O)C)C)C)c1ccoc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
10;10;10;[NH3+]C1(C(=O)[O-])CCC1;11.0;0;O=C([O-])C1([NH3+])CCC1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
11;11;11;Cn1c(=O)[nH]c2nc[nH]c2c1=O;12.0;0;O=C1N(C)C(=O)Nc2nc[nH]c12;training;;;SMILES;Binary_Characterization;classOATP1B3inh
12;12;12;N=C(N)NC(=N)Nc1ccccc1;13.0;0;N(C(NC(N)=N)=N)c1ccccc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
13;13;13;CC(=O)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C(=O)O)CC[C@]23C)C1(C)C;14.0;1;O=C1[C@H]2[C@@](CC[C@H]3[C@@]2(CC[C@H](OC(=O)C)C3(C)C)C)(C)[C@@]2(CC[C@@]3([C@H](C2=C1)[C@@H](C)[C@@H](CC3)C)C(O)=O)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
14;14;14;CC(=O)OC1CC(OC(C)=O)[C@]2(C)C(C[C@H](OC(C)=O)[C@]3(C)[C@@H]2[C@H](OC(C)=O)C[C@@]2(C)[C@H](c4ccoc4)OC(=O)[C@@H]4O[C@]432)C1(C)C;15.0;1;O1[C@H]([C@]2([C@@]3(O[C@@H]3C1=O)[C@]1([C@H]([C@]3([C@@H](C[C@H]1OC(=O)C)C(C)(C)[C@H](OC(=O)C)C[C@@H]3OC(=O)C)C)[C@H](OC(=O)C)C2)C)C)c1ccoc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
15;15;15;C[C@]12CCC(=O)C=C1CCc1ccc(O)cc12;16.0;0;Oc1cc2c(CCC3=CC(=O)CC[C@]23C)cc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
16;16;16;COc1ccc2c(c1)[C@]1(C)CC[C@@H](O)C[C@@H]1CC2;17.0;0;O(C)c1cc2c(CC[C@H]3C[C@H](O)CC[C@@]23C)cc1;training;;;SMILES;Binary_Characterization;classOATP1B3inh
17;17;17;COc1ccc2c(c1)O[C@@]1(O)COc3cc(OC)c(OC)cc3C1=C2;18.0;0;O1c2cc(OC)ccc2C=C2c3cc(OC)c(OC)cc3OC[C@]12O;training;;;SMILES;Binary_Characterization;classOATP1B3inh
