SAN_SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source;ORIGINAL_SMILES;MOL_OBJECT;SMILES
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C;[0.0, 0.0, 0.0];[917, 1914, 2911];[917, 917, 917];[nan, nan, nan];[nan, nan, nan];['classOATP1b3sub', 'classOATP1b3sub', 'classOATP1b3sub'];['smiles_standarized', 'smiles_standarized', 'smiles_standarized'];['C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C', 'C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C', 'C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C'];[<rdkit.Chem.rdchem.Mol object at 0x00000201316606D0>, <rdkit.Chem.rdchem.Mol object at 0x0000020131694970>, <rdkit.Chem.rdchem.Mol object at 0x00000201316CBC10>];['C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C', 'C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C', 'C#CC1(O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C']
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C;[0.0, 0.0, 0.0];[721, 1718, 2715];[721, 721, 721];[nan, nan, nan];[nan, nan, nan];['classOATP1b3sub', 'classOATP1b3sub', 'classOATP1b3sub'];['smiles_standarized', 'smiles_standarized', 'smiles_standarized'];['C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C', 'C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C', 'C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C'];[<rdkit.Chem.rdchem.Mol object at 0x00000201317A6120>, <rdkit.Chem.rdchem.Mol object at 0x000002013168A3C0>, <rdkit.Chem.rdchem.Mol object at 0x00000201316BF660>];['C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C', 'C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C', 'C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C']
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C;[0.0, 0.0, 0.0];[870, 1867, 2864];[870, 870, 870];[nan, nan, nan];[nan, nan, nan];['classOATP1b3sub', 'classOATP1b3sub', 'classOATP1b3sub'];['smiles_standarized', 'smiles_standarized', 'smiles_standarized'];['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'];[<rdkit.Chem.rdchem.Mol object at 0x00000201317ACDD0>, <rdkit.Chem.rdchem.Mol object at 0x00000201316920B0>, <rdkit.Chem.rdchem.Mol object at 0x00000201316C8350>];['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C']
C#CCN(C)CCCOc1ccc(Cl)cc1Cl;[0.0, 0.0, 0.0];[885, 1882, 2879];[885, 885, 885];[nan, nan, nan];[nan, nan, nan];['classOATP1b3sub', 'classOATP1b3sub', 'classOATP1b3sub'];['smiles_standarized', 'smiles_standarized', 'smiles_standarized'];['C#CCN(C)CCCOc1ccc(Cl)cc1Cl', 'C#CCN(C)CCCOc1ccc(Cl)cc1Cl', 'C#CCN(C)CCCOc1ccc(Cl)cc1Cl'];[<rdkit.Chem.rdchem.Mol object at 0x00000201317AD510>, <rdkit.Chem.rdchem.Mol object at 0x00000201316927B0>, <rdkit.Chem.rdchem.Mol object at 0x00000201316C8A50>];['C#CCN(C)CCCOc1ccc(Cl)cc1Cl', 'C#CCN(C)CCCOc1ccc(Cl)cc1Cl', 'C#CCN(C)CCCOc1ccc(Cl)cc1Cl']
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;[0.0, 0.0, 0.0];[491, 1488, 2485];[491, 491, 491];[nan, nan, nan];[nan, nan, nan];['classOATP1b3sub', 'classOATP1b3sub', 'classOATP1b3sub'];['smiles_standarized', 'smiles_standarized', 'smiles_standarized'];['C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1', 'C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1', 'C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1'];[<rdkit.Chem.rdchem.Mol object at 0x0000020131799580>, <rdkit.Chem.rdchem.Mol object at 0x000002013167D820>, <rdkit.Chem.rdchem.Mol object at 0x00000201316B1AC0>];['C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1', 'C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1', 'C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1']
C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N;[0.0, 0.0, 0.0];[63, 1060, 2057];[63, 63, 63];[nan, nan, nan];[nan, nan, nan];['classOATP1b3sub', 'classOATP1b3sub', 'classOATP1b3sub'];['smiles_standarized', 'smiles_standarized', 'smiles_standarized'];['C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N', 'C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N', 'C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N'];[<rdkit.Chem.rdchem.Mol object at 0x0000020131783120>, <rdkit.Chem.rdchem.Mol object at 0x00000201316663C0>, <rdkit.Chem.rdchem.Mol object at 0x000002013169C660>];['C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N', 'C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N', 'C/C(=C(/CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N']
C/C=C(/C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O;[0.0, 0.0, 0.0];[160, 1157, 2154];[160, 160, 160];[nan, nan, nan];[nan, nan, nan];['classOATP1b3sub', 'classOATP1b3sub', 'classOATP1b3sub'];['smiles_standarized', 'smiles_standarized', 'smiles_standarized'];['C/C=C(/C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O', 'C/C=C(/C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O', 'C/C=C(/C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O'];[<rdkit.Chem.rdchem.Mol object at 0x0000020131788350>, <rdkit.Chem.rdchem.Mol object at 0x000002013166D5F0>, <rdkit.Chem.rdchem.Mol object at 0x00000201316A2890>];['C/C=C(/C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O', 'C/C=C(/C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O', 'C/C=C(/C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O']
C/C=C(\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(CO)C5CCC43C)C2CC1(C)C;[1.0, 1.0, 1.0];[458, 1455, 2452];[458, 458, 458];[nan, nan, nan];[nan, nan, nan];['classOATP1b3sub', 'classOATP1b3sub', 'classOATP1b3sub'];['smiles_standarized', 'smiles_standarized', 'smiles_standarized'];['C/C=C(\\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(CO)C5CCC43C)C2CC1(C)C', 'C/C=C(\\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(CO)C5CCC43C)C2CC1(C)C', 'C/C=C(\\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(CO)C5CCC43C)C2CC1(C)C'];[<rdkit.Chem.rdchem.Mol object at 0x0000020131798510>, <rdkit.Chem.rdchem.Mol object at 0x000002013167C7B0>, <rdkit.Chem.rdchem.Mol object at 0x00000201316B0A50>];['C/C=C(\\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(CO)C5CCC43C)C2CC1(C)C', 'C/C=C(\\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(CO)C5CCC43C)C2CC1(C)C', 'C/C=C(\\C)C(=O)OC1C(OC(C)=O)C2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OC(CO)C(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(CO)C5CCC43C)C2CC1(C)C']
C/C=C(\C)C(=O)OC1C2=CC3C4CC(=O)OC(c5ccoc5)C4(C)CCC3C(C)(C2=O)C(C(O)C(=O)OC)C1(C)C;[0.0, 0.0, 0.0];[688, 1685, 2682];[688, 688, 688];[nan, nan, nan];[nan, nan, nan];['classOATP1b3sub', 'classOATP1b3sub', 'classOATP1b3sub'];['smiles_standarized', 'smiles_standarized', 'smiles_standarized'];['C/C=C(\\C)C(=O)OC1C2=CC3C4CC(=O)OC(c5ccoc5)C4(C)CCC3C(C)(C2=O)C(C(O)C(=O)OC)C1(C)C', 'C/C=C(\\C)C(=O)OC1C2=CC3C4CC(=O)OC(c5ccoc5)C4(C)CCC3C(C)(C2=O)C(C(O)C(=O)OC)C1(C)C', 'C/C=C(\\C)C(=O)OC1C2=CC3C4CC(=O)OC(c5ccoc5)C4(C)CCC3C(C)(C2=O)C(C(O)C(=O)OC)C1(C)C'];[<rdkit.Chem.rdchem.Mol object at 0x00000201317A4120>, <rdkit.Chem.rdchem.Mol object at 0x00000201316883C0>, <rdkit.Chem.rdchem.Mol object at 0x00000201316BE660>];['C/C=C(\\C)C(=O)OC1C2=CC3C4CC(=O)OC(c5ccoc5)C4(C)CCC3C(C)(C2=O)C(C(O)C(=O)OC)C1(C)C', 'C/C=C(\\C)C(=O)OC1C2=CC3C4CC(=O)OC(c5ccoc5)C4(C)CCC3C(C)(C2=O)C(C(O)C(=O)OC)C1(C)C', 'C/C=C(\\C)C(=O)OC1C2=CC3C4CC(=O)OC(c5ccoc5)C4(C)CCC3C(C)(C2=O)C(C(O)C(=O)OC)C1(C)C']
C/C=C(\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O;[0.0, 0.0, 0.0];[760, 1757, 2754];[760, 760, 760];[nan, nan, nan];[nan, nan, nan];['classOATP1b3sub', 'classOATP1b3sub', 'classOATP1b3sub'];['smiles_standarized', 'smiles_standarized', 'smiles_standarized'];['C/C=C(\\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O', 'C/C=C(\\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O', 'C/C=C(\\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O'];[<rdkit.Chem.rdchem.Mol object at 0x00000201317A8510>, <rdkit.Chem.rdchem.Mol object at 0x000002013168C7B0>, <rdkit.Chem.rdchem.Mol object at 0x00000201316C1A50>];['C/C=C(\\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O', 'C/C=C(\\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O', 'C/C=C(\\C)C(=O)OC1CC(OC(C)=O)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O']
