ID;orig_ID;SMILES;y;CAS;NAME;UNITS;smiles_source
0;0;Cc1ccccc1C1=C/C(=C(/SS/C(C(=O)c2ccc(OCC(=O)O)c(Cl)c2Cl)=C2/C=C(c3ccccc3C)SS2)C(=O)c2ccc(OCC(=O)O)c(Cl)c2Cl)SS1;1;;;classPsub;SMILES
1;1;CC1=NC(C)=C(C(=O)Nc2ccccc2C)C(c2ccc(C3C(C(=O)Nc4ccccc4C)=C(C)N=C(C)C3C(=O)Nc3ccccc3C)cc2)C1C(=O)Nc1ccccc1C;1;;;classPsub;SMILES
2;2;Cc1c2ccn(Cc3ccc(I)cc3)cc2c(C)c2c1nc1ccccc12;1;;;classPsub;SMILES
3;3;C(#CC1(Nc2ccccc2)CCN(Cc2ccccc2)CC1)C1(Nc2ccccc2)CCN(Cc2ccccc2)CC1;1;;;classPsub;SMILES
4;4;COc1cc2c(cc1Oc1c(Oc3c(O)c(OC)cc4c3C(CC(C)C)N(C)CC4)c(OC)cc3c1C(CC(C)C)N(C)CC3)C(CC(C)C)N(C)CC2;1;;;classPsub;SMILES
5;5;CCOC(=O)C(=Cc1ccc(Oc2ccccc2)cc1)C(=O)OCC;1;;;classPsub;SMILES
6;6;Cc1ccc2nc3c(C)c4ccn(C)cc4c(C)c3c2c1;1;;;classPsub;SMILES
7;7;CC(C)(C)OC(=O)CN1CCN(CC(=O)N2CCN(C(=O)OCc3ccccc3)CC2)CCN(CC(=O)OC(C)(C)C)CCN(CC(=O)N2CCN(C(=O)OCc3ccccc3)CC2)CC1;1;;;classPsub;SMILES
8;8;O=C(NC1=C(Cl)C(=O)c2ccccc2C1=O)C(=O)C(C(=O)c1ccc2ccccc2c1)C1OC(=O)c2ccccc21;1;;;classPsub;SMILES
9;9;CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccc4ccccc4c3)C(C)=C1C2(C)C;1;;;classPsub;SMILES
10;10;O=[N+]([O-])c1ccc(O)c(/C=N/c2nc(-c3ccccc3)cs2)c1;1;;;classPsub;SMILES
11;11;CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3C)C(C)=C1C2(C)C;1;;;classPsub;SMILES
12;12;CCN(CC)CCn1ccc2c(C)c3nc4ccc(O)cc4c3c(C)c2c1;1;;;classPsub;SMILES
13;13;Cc1c2ccn(C)c(C)c2cc2c1nc1ccccc12;1;;;classPsub;SMILES
14;14;CC(=O)OC1C(=O)C2(C)C(OC(=O)CCC(=O)O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(OC(=O)CCC(=O)O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C;1;;;classPsub;SMILES
15;15;CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)C(C)(C)C)c3ccccc3)C(C)=C1C2(C)C;1;;;classPsub;SMILES
16;16;O=C1C(Br)=C(Br)C(=O)c2ccccc21;1;;;classPsub;SMILES
17;17;C=C(C)C12CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C(OC(C)=O)C(=O)C1(C)C(O)CC3OCC3(OC(C)=O)C1C2OC(=O)c1cc(F)cc(F)c1;1;;;classPsub;SMILES
18;18;CCOC1c2cc(OC)c(OC)cc2-c2ccc3ccccc3c2N1C;1;;;classPsub;SMILES
19;19;CN(C)CCNC(=O)c1cccc2nc3c4ccccc4c4ccccc4c3nc12;1;;;classPsub;SMILES
20;20;COC1=C2CC(C)CC(OC)C(O)C(C)/C=C(/C)C(OC(N)=O)C(OC)/C=C\C=C(\C)C(=O)NC(=C(/C=N/C(C)(C)C)C1=O)C2=O;1;;;classPsub;SMILES
21;21;CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C;1;;;classPsub;SMILES
22;22;COC1CC(C)C(OC)c2cc(O)cc(c2O)NC(=O)/C(C)=C\C=C/C(C)C(OC(N)=O)/C(C)=C\C(C)C1OC;1;;;classPsub;SMILES
23;23;CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccc(F)cc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C;1;;;classPsub;SMILES
24;24;Cc1c2ccn(C)cc2c(C)c2c1nc1ccc(O)cc12;1;;;classPsub;SMILES
25;25;COc1ccc2[nH]c3c(C)c4c(c(C)c3c2c1)CN(C)C=C4;1;;;classPsub;SMILES
26;26;Cc1cc(C(=C2C=CC(=N)C=C2)c2ccc(N)cc2)ccc1N;1;;;classPsub;SMILES
27;27;COC1/C=C\C=C(\C)C(=O)NC2=CC(=O)/C(=N\CCCl)C(CC(C)CC(OC)C(O)C(C)/C=C(/C)C1OC(N)=O)C2=O;1;;;classPsub;SMILES
28;28;C=CC/N=C1\C(=O)C=C2NC(=O)/C(C)=C\C=C/C(OC)C(OC(N)=O)/C(C)=C/C(C)C(O)C(OC)CC(C)CC1C2=O;1;;;classPsub;SMILES
29;29;CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)CC(C)C)c3ccccc3)C(C)=C1C2(C)C;1;;;classPsub;SMILES
30;30;COC1=C2CC(C)CC(OC)C(O)C(C)/C=C(\C)C(OC(N)=O)C(OC)/C=C\C=C(\C)C(=O)NC(=CC1=O)C2=O;1;;;classPsub;SMILES
31;31;O=C1C2=C(CC3=C(C2)CS(=O)(=O)C3)C(=O)C2=C1CC1=C(C2)CS(=O)(=O)C1;1;;;classPsub;SMILES
32;32;N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1;1;;;classPsub;SMILES
33;33;C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12;1;;;classPsub;SMILES
34;34;Cc1c2ccn(CCN3CCCCC3)cc2c(C)c2c1nc1ccc(O)cc12;1;;;classPsub;SMILES
35;35;CC(CCC1=NCCN1)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C;1;;;classPsub;SMILES
36;36;CN(C)C(=O)c1cccc(COc2ccc(N3C(N)=NC(N)=NC3(C)C)cc2Cl)c1;1;;;classPsub;SMILES
37;37;COc1cc(C2c3[nH]c4ccccc4c3C(Nc3ccc([N+](=O)[O-])cc3)C3COC(=O)N23)cc(OC)c1O;1;;;classPsub;SMILES
38;38;COc1cc2c(cc1OC)C(OC)N(C)c1c-2ccc2cc3c(cc12)OCO3;1;;;classPsub;SMILES
39;39;CCOC(=O)C1OC(C2(C)OC3(OC4(C=CC3O)OC(C(C)C(=O)C(C)C(O)C(C)CC(C)c3c(Cl)cc(C)c(O)c3C(=O)O)C(C)CC4C)C(C)C2OC)CC1O;1;;;classPsub;SMILES
40;40;O=[N+]([O-])c1cccc2nc3ccccc3c(NCCN(CCO)CCO)c12;1;;;classPsub;SMILES
41;41;CN1CCN(c2ccc3nc(-c4ccc5nc(-c6ccc(O)cc6)[nH]c5c4)[nH]c3c2)CC1;1;;;classPsub;SMILES
42;42;CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)C2CCCCC2)C2(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C;1;;;classPsub;SMILES
43;43;CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccco2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C;1;;;classPsub;SMILES
44;44;N=C(N)NCCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc([N+](=O)[O-])ccc23)cc1;1;;;classPsub;SMILES
45;45;CC(C)=CC(=O)OC1C2C(C)=CC(O)C(=O)C2(C)C2C3(O)OCC24C(CC(=O)OC14)C(C)C3O;1;;;classPsub;SMILES
46;46;C/C=C1\NC(=O)C2CSSCC/C=C/C(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O;1;;;classPsub;SMILES
47;47;CC(C)=CC(=O)OC1C2C(C)=CC(O)C(O)C2(C)C2C3(O)OCC24C(CC(=O)OC14)C(C)C3O;1;;;classPsub;SMILES
48;48;CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(O)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C;1;;;classPsub;SMILES
49;49;CCc1nc(N)nc(N)c1-c1ccc(N2CCNCC2)c([N+](=O)[O-])c1;1;;;classPsub;SMILES
