SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source
Brc1ccccc2cc(-c3ccccc3)nc1-2;0;212;212;;;classPsub;SMILES
C#CC(CC(=O)O)NC(=O)CN1CCc2ccc(N3CCNCC3)cc2C1=O;0;1686;1686;;;classPsub;SMILES
C#CCN(C)C(C)Cc1ccccc1;0;1339;1339;;;classPsub;SMILES
C#CCN(Cc1ccc2nc(OC)c(OC)nc2c1)c1cc(OC)c(OC)c(OC)c1;0;552;552;;;classPsub;SMILES
C#C[C@]1(O)CCC2C3CCC4=CC(=O)CCC4C3CC[C@@]21C;0;1735;1735;;;classPsub;SMILES
C#C[C@]1(O)CCC2C3CCc4cc(O)ccc4C3CC[C@@]21C;1;1737;1737;;;classPsub;SMILES
C#Cc1cccc(-n2c(O)ccc2O)c1;0;280;280;;;classPsub;SMILES
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;1;1477;1477;;;classPsub;SMILES
C(#CC1(Nc2ccccc2)CCN(Cc2ccccc2)CC1)C1(Nc2ccccc2)CCN(Cc2ccccc2)CC1;1;3;3;;;classPsub;SMILES
C(=C/c1ccc(-c2cn3cc(/C=C/C=N/NC4=NCCN4)ccc3n2)cc1)\C=N\NC1=NCCN1;1;52;52;;;classPsub;SMILES
C(=Cc1ccc(-c2cn3cc(C=CC=NNC4=NCCN4)ccc3n2)cc1)C=NNC1=NCCN1;1;1910;1910;;;classPsub;SMILES
C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12;1;33;33;;;classPsub;SMILES
C(=NNC1=NCCN1)c1c2ccccc2c(C=NNC2=NCCN2)c2ccccc12;1;1350;1350;;;classPsub;SMILES
C/C(=C\COc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1;0;426;426;;;classPsub;SMILES
C/C(=C\c1csc(C)n1)C1CC2OC2CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1;1;1931;1931;;;classPsub;SMILES
C/C(=C\c1csc(C)n1)C1CC2O[C@]2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)N1;1;1930;1930;;;classPsub;SMILES
C/C(=N\NC(=O)c1ccccc1O)c1cccc(/C(C)=N/NC(=O)c2ccccc2O)n1;0;758;758;;;classPsub;SMILES
C/C(=N\NC(=S)N(C)C)c1cccc[n+]1[O-];0;891;891;;;classPsub;SMILES
C/C(=N\NC(=S)N(Cc1ccccn1)Cc1ccccn1)c1cnccn1;0;1026;1026;;;classPsub;SMILES
C/C(=N\NC(=S)N1CC2CCC(CC2)C1)c1nccs1;0;757;757;;;classPsub;SMILES
C/C(=N\NC(=S)N1CCCCCC1)c1cccc[n+]1[O-];0;1089;1089;;;classPsub;SMILES
C/C(=N\NC(=S)N1CCN(c2ccccn2)CC1)c1ncccn1;0;1091;1091;;;classPsub;SMILES
C/C1=C/C(C)CC(C)OC(=O)C(C)NC(=O)C(Cc2ccc(O)c(Br)c2)N(C)C(=O)C(C)NC(=O)C(C)C1;0;582;582;;;classPsub;SMILES
C/C1=C/C(C)CC(C)OC(=O)CC(c2ccc(O)cc2)NC(=O)C(Cc2c(Br)[nH]c3ccccc23)N(C)C(=O)C(C)NC(=O)C(C)C1;0;382;382;;;classPsub;SMILES
C/C=C(/C)C(=O)OC1C(C)=C[C@]23C(=O)C(C=C(CO)C(O)[C@]12O)C1C(CC3C)C1(C)C;1;1380;1380;;;classPsub;SMILES
C/C=C(\CCC(C)C1CCC2C3CC=C4CC(O)CC[C@]4(C)C3CC[C@]12C)C(C)C;0;1749;1749;;;classPsub;SMILES
C/C=C(\Cl)NOC(=O)Nc1ccc(F)c([N+](=O)[O-])c1;0;323;323;;;classPsub;SMILES
C/C=C(\N=C=S)C(=O)OC1C(COC(C)=O)OC(C2(O)CC(=O)C(=N)C(C(=O)O)C2=O)C(O)C1OC1CC(OC)C(O)(C(C)OC(=O)C(C)CC)C(C)O1;1;109;109;;;classPsub;SMILES
C/C=C/C1=C(Cl)C(=O)C(Cl)C1(O)C(=O)OC;0;506;506;;;classPsub;SMILES
C/C=C/C1=CC(O)C(O)C1=O;0;832;832;;;classPsub;SMILES
C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C;1;1679;1679;;;classPsub;SMILES
C/C=C/c1cc2c(cc1O)CCC1C2CCC2(C)C(O)CCC12;0;500;500;;;classPsub;SMILES
C/C=C1/C(=O)CC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C;1;1665;1665;;;classPsub;SMILES
C/C=C1\C(=O)OC23C=CC4C(C(=O)OC)=COC(OC12)C43;0;804;804;;;classPsub;SMILES
C/C=C1\CC2C(OC)Nc3cc(O)c(OC)cc3C(=O)N2C1;0;897;897;;;classPsub;SMILES
C/C=C1\NC(=O)C2CSSCC/C=C/C(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O;1;46;46;;;classPsub;SMILES
C/N=C1/C(=O)C(C(C)CCC=C(C)C)C(=O)C(=O)C1C;0;481;481;;;classPsub;SMILES
C1CN1c1nc(N2CC2)nc(N2CC2)n1;0;1079;1079;;;classPsub;SMILES
C=C(C(=O)OC)c1cc2ccccc2n1S(=O)(=O)c1ccccc1;0;451;451;;;classPsub;SMILES
C=C(C)C(=O)OC1CCC2(C)C(CCC3C2CCC2(C)C(c4ccc(=O)oc4)CC4OC432)C1;0;429;429;;;classPsub;SMILES
