SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source
BrCCBr;0;[1378, 379];379;[nan, nan];[nan, nan];classUGTsub;Smiles
C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3C(=C)CC21C;0;[1066, 67];67;[nan, nan];[nan, nan];classUGTsub;Smiles
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C;1;[840, 1839];840;[nan, nan];[nan, nan];classUGTsub;Smiles
C#CC1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C;1;[1808, 809];809;[nan, nan];[nan, nan];classUGTsub;Smiles
C#CCN(C)C(C)Cc1ccccc1;0;[1467, 468];468;[nan, nan];[nan, nan];classUGTsub;Smiles
C#C[C@]1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C;1;[1777, 778];778;[nan, nan];[nan, nan];classUGTsub;Smiles
C#Cc1cc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)ccc1O;1;[1573, 574];574;[nan, nan];[nan, nan];classUGTsub;Smiles
C#Cc1cccc(Nc2ncnc3cc(OCCO)c(OCCOC)cc23)c1;1;[1572, 573];573;[nan, nan];[nan, nan];classUGTsub;Smiles
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1;1;[1571, 572];572;[nan, nan];[nan, nan];classUGTsub;Smiles
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1;0;[1419, 420];420;[nan, nan];[nan, nan];classUGTsub;Smiles
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1;0;[1462, 463];463;[nan, nan];[nan, nan];classUGTsub;Smiles
C1CCN2CC3CC(CN4CCCCC34)C2C1;0;[1148, 149];149;[nan, nan];[nan, nan];classUGTsub;Smiles
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1;0;[1078, 79];79;[nan, nan];[nan, nan];classUGTsub;Smiles
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl;1;[1764, 765];765;[nan, nan];[nan, nan];classUGTsub;Smiles
C=C(c1ccc(C(=O)NCCS(=O)(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CC(O)C2(C)C;1;[1523, 524];524;[nan, nan];[nan, nan];classUGTsub;Smiles
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)C(O)CC2(C)C;1;[1520, 521];521;[nan, nan];[nan, nan];classUGTsub;Smiles
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CC(=O)C2(C)C;1;[1522, 523];523;[nan, nan];[nan, nan];classUGTsub;Smiles
C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C;1;[1521, 522];522;[nan, nan];[nan, nan];classUGTsub;Smiles
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O;1;[1539, 540];540;[nan, nan];[nan, nan];classUGTsub;Smiles
C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3;1;[1953, 954];954;[nan, nan];[nan, nan];classUGTsub;Smiles
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C;0;[1093, 94];94;[nan, nan];[nan, nan];classUGTsub;Smiles
C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CCC1=CCOC1=O;1;[1997, 998];998;[nan, nan];[nan, nan];classUGTsub;Smiles
C=CC#N;0;[1108, 109];109;[nan, nan];[nan, nan];classUGTsub;Smiles
C=CC(C)(C)c1cc(C=CC(=O)c2ccc(O)cc2)c(OC)cc1O;1;[1883, 884];884;[nan, nan];[nan, nan];classUGTsub;Smiles
