ID;orig_ID;SMILES;y;CAS;NAME;UNITS;smiles_source
0;1;C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO;-4.0222;50-22-6;;logcm/h;isoSMILES_from_CAS
1;2;O=NN(CCO)CCO;-5.11415;1116-54-7;;logcm/h;isoSMILES_from_CAS
2;3;CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O;-3.63123;36322-90-4;;logcm/h;isoSMILES_from_CAS
3;4;CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2;-4.71563;51-55-8;;logcm/h;isoSMILES_from_CAS
4;5;Oc1cccc(O)c1O;-2.94913;87-66-1;;logcm/h;isoSMILES_from_CAS
5;6;Oc1cccc(O)c1;-3.34596;108-46-3;;logcm/h;isoSMILES_from_CAS
6;7;CCO;-3.07103;64-17-5;;logcm/h;isoSMILES_from_CAS
7;8;Oc1ccc(Cl)cc1Cl;-1.18346;120-83-2;;logcm/h;isoSMILES_from_CAS
8;9;COc1ccccc1;-1.41421;100-66-3;;logcm/h;isoSMILES_from_CAS
9;10;OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO;-4.55049;69-65-8;;logcm/h;isoSMILES_from_CAS
10;11;CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(c6coc(O)c6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O;-6.02062;36-06-6;;logcm/h;noisoSMILES_from_CAS
11;12;CC(=O)O;-2.80026;64-19-7;;logcm/h;isoSMILES_from_CAS
12;13;O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O;-2.41457;74103-06-3;;logcm/h;isoSMILES_from_CAS
13;14;CO;-3.21524;67-56-1;;logcm/h;isoSMILES_from_CAS
14;15;CCCCCO;-2.14502;71-41-0;;logcm/h;isoSMILES_from_CAS
15;16;O=c1[nH]cc(F)c(=O)[nH]1;-4.57786;51-21-8;;logcm/h;isoSMILES_from_CAS
16;17;CCC(C)=O;-2.49867;78-93-3;;logcm/h;isoSMILES_from_CAS
17;18;C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;-3.90422;378-44-9;;logcm/h;isoSMILES_from_CAS
18;19;CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1;-2.17579;437-38-7;;logcm/h;isoSMILES_from_CAS
19;20;COC(=O)c1ccc(O)cc1;-1.93276;99-76-3;;logcm/h;isoSMILES_from_CAS
20;21;COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1;-3.51304;53-86-1;;logcm/h;isoSMILES_from_CAS
21;22;Cn1c(=O)c2[nH]cnc2n(C)c1=O;-3.64685;58-55-9;;logcm/h;isoSMILES_from_CAS
22;23;CCOC(=O)c1ccc(N)cc1;-1.44913;94-09-7;;logcm/h;isoSMILES_from_CAS
23;24;CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC;-1.25784;117-81-7;;logcm/h;isoSMILES_from_CAS
24;25;O=C(O)c1ccccc1;-1.81644;65-85-0;;logcm/h;isoSMILES_from_CAS
25;26;Cc1cc(O)ccc1Cl;-1.20251;59-50-7;;logcm/h;isoSMILES_from_CAS
26;27;CCN(CC)CC(=O)Nc1c(C)cccc1C;-2.27246;137-58-6;;logcm/h;isoSMILES_from_CAS
27;28;CCN(CC)C(=O)N1CCN(C)CC1;-3.84381;90-89-1;;logcm/h;isoSMILES_from_CAS
28;29;C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@]2(O)C(=O)CO;-4.08168;601-05-8;;logcm/h;isoSMILES_from_CAS
29;30;C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO;-3.30041;64-85-7;;logcm/h;isoSMILES_from_CAS
30;31;Oc1c(Cl)cc(Cl)cc1Cl;-1.16399;88-06-2;;logcm/h;isoSMILES_from_CAS
31;32;CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C;-2.77315;145-13-1;;logcm/h;isoSMILES_from_CAS
32;33;C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O;-2.4045;53-16-7;;logcm/h;isoSMILES_from_CAS
33;34;O=[N+]([O-])c1ccc(O)cc1;-2.17907;100-02-7;;logcm/h;isoSMILES_from_CAS
34;35;CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C;-3.16769;68-96-2;;logcm/h;isoSMILES_from_CAS
35;36;CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(O)(O)CC[C@]4(C)[C@H]3CC[C@]12C;-3.16749;12041-98-4;;logcm/h;isoSMILES_from_CAS
36;37;O=[N+]([O-])c1cccc(O)c1;-2.1904;554-84-7;;logcm/h;isoSMILES_from_CAS
37;38;C[C@@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1;-2.68185;141505-33-1;;logcm/h;isoSMILES_from_CAS
38;39;O=Cc1ccccc1;-0.89055;100-52-7;;logcm/h;isoSMILES_from_CAS
39;40;OCCc1ccccc1;-1.55845;60-12-8;;logcm/h;isoSMILES_from_CAS
40;41;CCN(C)C;-2.51382;598-56-1;;logcm/h;isoSMILES_from_CAS
41;42;Oc1ccccc1O;-2.59092;120-80-9;;logcm/h;isoSMILES_from_CAS
42;43;OCc1ccccc1;-2.11617;100-51-6;;logcm/h;isoSMILES_from_CAS
43;44;CN1[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21;-4.27947;51-34-3;;logcm/h;isoSMILES_from_CAS
44;45;COC(=O)c1ccc(N)cc1;-1.4158;619-45-4;;logcm/h;isoSMILES_from_CAS
45;46;Cc1ccccc1O;-1.79745;95-48-7;;logcm/h;isoSMILES_from_CAS
46;47;CC(C)NCC(O)COc1cccc2ccccc12;-2.72858;525-66-6;;logcm/h;isoSMILES_from_CAS
47;48;Cc1cccc(O)c1;-1.81525;108-39-4;;logcm/h;isoSMILES_from_CAS
48;49;CCCCOCCO;-2.60548;111-76-2;;logcm/h;isoSMILES_from_CAS
49;50;Cc1ccc(O)cc1;-1.76024;106-44-5;;logcm/h;isoSMILES_from_CAS
50;51;CCCCCCO;-1.79932;111-27-3;;logcm/h;isoSMILES_from_CAS
51;52;CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1;-2.64334;132-22-9;;logcm/h;isoSMILES_from_CAS
52;53;CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1;-2.04435;56030-54-7;;logcm/h;isoSMILES_from_CAS
53;54;Oc1ccccc1;-1.9186;108-95-2;;logcm/h;isoSMILES_from_CAS
54;55;OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;-5.24085;57-50-1;;logcm/h;isoSMILES_from_CAS
55;56;CCCCCCCCO;-1.22676;111-87-5;;logcm/h;isoSMILES_from_CAS
56;57;CCCCOC(=O)c1ccc(N)cc1;-1.0158;94-25-7;;logcm/h;isoSMILES_from_CAS
57;58;CN[C@@H](C)[C@H](O)c1ccccc1;-2.19539;299-42-3;;logcm/h;isoSMILES_from_CAS
58;59;CCOC(=O)c1cccnc1;-2.16305;614-18-6;;logcm/h;isoSMILES_from_CAS
59;60;O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1;-2.75685;530-78-9;;logcm/h;isoSMILES_from_CAS
60;61;CCc1ccc(O)cc1;-1.43431;123-07-9;;logcm/h;isoSMILES_from_CAS
61;62;O=C(OCc1ccccc1)c1cccnc1;-1.73332;94-44-0;;logcm/h;isoSMILES_from_CAS
62;63;Oc1ccc(Br)cc1;-1.42101;106-41-2;;logcm/h;isoSMILES_from_CAS
63;64;Cc1ccc(O)cc1C;-1.41415;95-65-8;;logcm/h;isoSMILES_from_CAS
64;65;CCC[C@@](C)(O)[C@H]1C[C@@]23C=C[C@]1(OC)[C@@H]1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5;-2.41139;14521-96-1;;logcm/h;isoSMILES_from_CAS
65;66;CCCCOC(=O)c1cccnc1;-1.72182;6938-06-03 00:00:00;;logcm/h;noisoSMILES_from_CAS
66;67;Oc1ccc(Cl)cc1;-1.38054;106-48-9;;logcm/h;isoSMILES_from_CAS
67;68;CCCCCCCCCO;-1.19655;143-08-8;;logcm/h;isoSMILES_from_CAS
68;69;Oc1ccccc1Cl;-1.4563;95-57-8;;logcm/h;isoSMILES_from_CAS
69;70;CCOCCO;-3.54;110-80-5;;logcm/h;isoSMILES_from_CAS
70;71;CCCCCCOC(=O)c1cccnc1;-1.68614;23597-82-2;;logcm/h;isoSMILES_from_CAS
71;72;CCCCCCCO;-1.47443;111-70-6;;logcm/h;isoSMILES_from_CAS
72;73;CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5;-4.95681;57-27-2;;logcm/h;isoSMILES_from_CAS
73;74;Oc1ccc2ccccc2c1;-1.53558;135-19-3;;logcm/h;isoSMILES_from_CAS
74;75;CCCCC1(CC)C(=O)NC(=O)NC1=O;-3.69886;77-28-1;;logcm/h;isoSMILES_from_CAS
75;76;CCC1(c2ccccc2)C(=O)NC(=O)NC1=O;-3.32228;50-06-6;;logcm/h;isoSMILES_from_CAS
76;77;CCC1(CC)C(=O)NC(=O)NC1=O;-3.93217;57-44-3;;logcm/h;isoSMILES_from_CAS
77;78;Nc1cc([N+](=O)[O-])ccc1O;-3.13131;99-57-0;;logcm/h;isoSMILES_from_CAS
78;79;Nc1ccc(O)c([N+](=O)[O-])c1;-2.50861;119-34-6;;logcm/h;isoSMILES_from_CAS
79;80;CCCCOC(=O)c1ccc(O)cc1;-0.9158;94-26-8;;logcm/h;isoSMILES_from_CAS
80;81;CC(=O)Oc1ccccc1C(=O)O;-2.10689;50-78-2;;logcm/h;isoSMILES_from_CAS
81;82;Nc1ccc(N)c([N+](=O)[O-])c1;-3.22618;5307-14-2;;logcm/h;isoSMILES_from_CAS
82;83;COCCOC(C)=O;-2.64185;110-49-6;;logcm/h;isoSMILES_from_CAS
83;84;CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1;-2.89185;51803-78-2;;logcm/h;isoSMILES_from_CAS
84;85;Oc1ccc(O)cc1;-2.85185;123-31-9;;logcm/h;isoSMILES_from_CAS
85;86;CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3;-2.02185;41340-25-4;;logcm/h;isoSMILES_from_CAS
86;87;CCCOc1ccc(O)cc1;-1.72185;18979-50-5;;logcm/h;isoSMILES_from_CAS
87;88;CC(C)OCCO;-3.25185;109-59-1;;logcm/h;isoSMILES_from_CAS
88;89;CCC1(CCC(C)C)C(=O)NC(=O)NC1=O;-2.62002;57-43-2;;logcm/h;isoSMILES_from_CAS
89;90;CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1;-3.95185;66357-35-5;;logcm/h;isoSMILES_from_CAS
90;91;CN/C(=C\[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1;-4.32185;76963-41-2;;logcm/h;isoSMILES_from_CAS
91;92;COC(=O)c1ccccc1O;-1.34185;119-36-8;;logcm/h;isoSMILES_from_CAS
92;93;COCC(C)O;-2.74185;107-98-2;;logcm/h;isoSMILES_from_CAS
93;94;NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1;-4.69185;76824-35-6;;logcm/h;isoSMILES_from_CAS
94;95;Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1;-5.20185;147-94-4;;logcm/h;isoSMILES_from_CAS
95;96;Oc1cc(O)cc(O)c1;-2.41185;108-73-6;;logcm/h;isoSMILES_from_CAS
96;97;N#Cc1ccc(O)cc1;-2.07185;767-00-0;;logcm/h;isoSMILES_from_CAS
97;98;CC(C)(C)c1ccccc1O;-1.02185;88-18-6;;logcm/h;isoSMILES_from_CAS
98;99;CCCCc1ccc(O)cc1;-1.01185;1638-22-8;;logcm/h;isoSMILES_from_CAS
99;100;CCCCCCCCOC(=O)c1ccc(O)cc1;-1.93432;1219-38-1;;logcm/h;isoSMILES_from_CAS
100;101;C[C@@H](O)[C@@H](C)O;-4.34477;24347-58-8;;logcm/h;isoSMILES_from_CAS
101;102;c1ccccc1;-0.88712;71-43-2;;logcm/h;isoSMILES_from_CAS
102;103;COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O;-2.82672;126-07-8;;logcm/h;isoSMILES_from_CAS
103;104;O=C(NCCO[N+](=O)[O-])c1cccnc1;-3.62524;65141-46-0;;logcm/h;isoSMILES_from_CAS
104;105;CCCO;-2.84215;71-23-8;;logcm/h;isoSMILES_from_CAS
105;106;CCCCC(=O)O;-2.67321;109-52-4;;logcm/h;isoSMILES_from_CAS
106;107;CCCC(=O)O;-2.9801;107-92-6;;logcm/h;isoSMILES_from_CAS
107;108;O=c1ccc2ccccc2o1;-1.99625;91-64-5;;logcm/h;isoSMILES_from_CAS
108;109;C[n+]1ccc(-c2cc[n+](C)cc2)cc1.[Cl-].[Cl-];-5.08016;1910-42-5;;logcm/h;isoSMILES_from_CAS
109;110;ClC(Br)Br;-0.75685;124-48-1;;logcm/h;isoSMILES_from_CAS
110;111;ClC(Cl)Br;-0.79685;75-27-4;;logcm/h;isoSMILES_from_CAS
111;112;BrC(Br)Br;-0.72685;75-25-2;;logcm/h;isoSMILES_from_CAS
112;113;CC(=O)C(Cl)Cl;-1.41685;513-88-2;;logcm/h;isoSMILES_from_CAS
113;114;Cc1cc(O)cc(C)c1Cl;-1.2333;88-04-0;;logcm/h;isoSMILES_from_CAS
114;115;COC(=O)c1cccnc1;-2.45916;93-60-7;;logcm/h;isoSMILES_from_CAS
115;116;Nc1ccccc1N;-3.3156;95-54-5;;logcm/h;isoSMILES_from_CAS
116;117;Nc1ccc(N)cc1;-3.59495;106-50-3;;logcm/h;isoSMILES_from_CAS
117;118;Cc1ccc(C(C)C)c(O)c1;-1.27531;89-83-8;;logcm/h;isoSMILES_from_CAS
118;119;CCCCCC(=O)O;-1.86324;142-62-1;;logcm/h;isoSMILES_from_CAS
119;120;CCCCCCCC(=O)O;-1.60043;124-07-2;;logcm/h;isoSMILES_from_CAS
120;121;Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C;-2.96913;58-15-1;;logcm/h;isoSMILES_from_CAS
121;122;O=C(O)Cc1ccc(O)cc1;-2.57685;156-38-7;;logcm/h;isoSMILES_from_CAS
122;123;NC(N)=O;-3.82372;57-13-6;;logcm/h;isoSMILES_from_CAS
123;124;CCCOC(=O)c1ccc(O)cc1;-1.85801;94-13-3;;logcm/h;isoSMILES_from_CAS
124;125;C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl;-3.80794;58-54-8;;logcm/h;isoSMILES_from_CAS
125;126;CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1;-2.05489;333-41-5;;logcm/h;isoSMILES_from_CAS
126;127;c1ccc2cnccc2c1;-1.77667;119-65-3;;logcm/h;isoSMILES_from_CAS
127;128;C=Cc1ccccc1;-0.18728;100-42-5;;logcm/h;isoSMILES_from_CAS
128;129;Cc1cc(Cl)ccc1O;-1.26333;1570-64-5;;logcm/h;isoSMILES_from_CAS
129;130;CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;-1.74618;3593-96-2;;logcm/h;isoSMILES_from_CAS
130;131;C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCCCCC(=O)O;-2.74618;107085-84-7;;logcm/h;isoSMILES_from_CAS
131;132;O=C(O)CNCP(=O)(O)O;-3.33409;1071-83-6;;logcm/h;isoSMILES_from_CAS
132;133;CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1;-2.73685;63659-18-7;;logcm/h;isoSMILES_from_CAS
133;134;CC(Cl)(Cl)Cl;-2.3481;71-55-6;;logcm/h;isoSMILES_from_CAS
134;135;O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-];-1.95895;55-63-0;;logcm/h;isoSMILES_from_CAS
