SMILES;y;ID;orig_ID;CAS;NAME;UNITS;smiles_source
BrC(Br)Br;-0.72685;111;112;75-25-2;;logcm/h;isoSMILES_from_CAS
C/C(Cl)=C/Cl;-2.0;188;189;6923-20-2;;logcm/h;isoSMILES_from_CAS
C1COCCN1;-3.86;168;169;110-91-8;;logcm/h;isoSMILES_from_CAS
C1COCCO1;-3.45;169;170;123-91-1;;logcm/h;isoSMILES_from_CAS
C=C(C)C(=O)O;-2.58;174;175;79-41-4;;logcm/h;isoSMILES_from_CAS
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl;-3.80794;124;125;58-54-8;;logcm/h;isoSMILES_from_CAS
C=CC#N;-2.87;170;171;107-13-1;;logcm/h;isoSMILES_from_CAS
C=CC(=O)O;-3.05;257;258;79-10-7;;logcm/h;isoSMILES_from_CAS
C=CC(=O)OC;-2.68;228;229;96-33-3;;logcm/h;isoSMILES_from_CAS
C=CC(=O)OCC;-2.39;220;221;140-88-5;;logcm/h;isoSMILES_from_CAS
C=CC(=O)OCCCC;-2.0;210;211;141-32-2;;logcm/h;isoSMILES_from_CAS
C=CC=O;-3.07;171;172;107-02-8;;logcm/h;isoSMILES_from_CAS
C=CCO;-2.95;267;268;107-18-6;;logcm/h;isoSMILES_from_CAS
C=CCOc1ccccc1OCC(O)CNC(C)C;-2.81185;151;152;6452-71-7;;logcm/h;isoSMILES_from_CAS
C=CCc1ccccc1OCC(O)CNC(C)C;-3.5437;185;186;13707-88-5;;logcm/h;isoSMILES_from_CAS
C=COC(C)=O;-2.73;176;177;108-05-4;;logcm/h;isoSMILES_from_CAS
C=Cc1ccccc1;-0.18728;127;128;100-42-5;;logcm/h;isoSMILES_from_CAS
C=O;-2.65;172;173;50-00-0;;logcm/h;isoSMILES_from_CAS
CC#N;-3.21;173;174;75-05-8;;logcm/h;isoSMILES_from_CAS
CC(=O)C(Cl)(Cl)Cl;-1.62;175;176;918-00-3;;logcm/h;isoSMILES_from_CAS
CC(=O)C(Cl)Cl;-1.41685;112;113;513-88-2;;logcm/h;isoSMILES_from_CAS
CC(=O)N(C)C;-2.8;222;223;127-19-5;;logcm/h;isoSMILES_from_CAS
CC(=O)O;-2.80026;11;12;64-19-7;;logcm/h;isoSMILES_from_CAS
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C;-2.76989;164;165;356-12-7;;logcm/h;isoSMILES_from_CAS
CC(=O)Oc1ccccc1C(=O)O;-2.10689;80;81;50-78-2;;logcm/h;isoSMILES_from_CAS
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C;-3.16769;34;35;68-96-2;;logcm/h;isoSMILES_from_CAS
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(O)(O)CC[C@]4(C)[C@H]3CC[C@]12C;-3.16749;35;36;12041-98-4;;logcm/h;isoSMILES_from_CAS
CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C;-2.77315;31;32;145-13-1;;logcm/h;isoSMILES_from_CAS
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1;-3.4537;177;178;26839-75-8;;logcm/h;isoSMILES_from_CAS
CC(C)(C)c1ccccc1O;-1.02185;97;98;88-18-6;;logcm/h;isoSMILES_from_CAS
CC(C)=O;-3.29;178;179;67-64-1;;logcm/h;isoSMILES_from_CAS
CC(C)CC(C)O;-2.33;181;182;108-11-2;;logcm/h;isoSMILES_from_CAS
CC(C)CCO;-2.0;182;183;123-51-3;;logcm/h;isoSMILES_from_CAS
CC(C)CO;-2.65;183;184;78-83-1;;logcm/h;isoSMILES_from_CAS
CC(C)N;-2.9;184;185;75-31-0;;logcm/h;isoSMILES_from_CAS
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1;-3.79246;152;153;29122-68-7;;logcm/h;isoSMILES_from_CAS
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1;-2.73685;132;133;63659-18-7;;logcm/h;isoSMILES_from_CAS
CC(C)NCC(O)COc1cccc2ccccc12;-2.72858;46;47;525-66-6;;logcm/h;isoSMILES_from_CAS
CC(C)O;-3.05;186;187;67-63-0;;logcm/h;isoSMILES_from_CAS
CC(C)OCCO;-3.25185;87;88;109-59-1;;logcm/h;isoSMILES_from_CAS
CC(C)c1ccccc1;-0.85;180;181;98-82-8;;logcm/h;isoSMILES_from_CAS
CC(CO)c1ccccc1;-1.28;187;188;1123-85-9;;logcm/h;isoSMILES_from_CAS
CC(Cl)(Cl)Cl;-2.3481;133;134;71-55-6;;logcm/h;isoSMILES_from_CAS
CC(Cl)CCl;-2.0;189;190;78-87-5;;logcm/h;isoSMILES_from_CAS
CC(N)Cc1ccccc1;-4.85;190;191;300-62-9;;logcm/h;isoSMILES_from_CAS
CC(O)COC(=O)c1cccnc1;-4.23;191;192;61379-44-0;;logcm/h;isoSMILES_from_CAS
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1;-4.69;192;193;76-25-5;;logcm/h;isoSMILES_from_CAS
CC1CO1;-3.05;198;199;75-56-9;;logcm/h;isoSMILES_from_CAS
CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(c6coc(O)c6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O;-6.02062;10;11;36-06-6;;logcm/h;noisoSMILES_from_CAS
CC=O;-3.15;199;200;75-07-0;;logcm/h;isoSMILES_from_CAS
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1;-2.04435;52;53;56030-54-7;;logcm/h;isoSMILES_from_CAS
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1;-2.17579;18;19;437-38-7;;logcm/h;isoSMILES_from_CAS
CCC(=O)O;-2.94;203;204;79-09-4;;logcm/h;isoSMILES_from_CAS
CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;-2.47;200;201;6677-98-1;;logcm/h;isoSMILES_from_CAS
CCC(C)=O;-2.49867;16;17;78-93-3;;logcm/h;isoSMILES_from_CAS
CCC(C)C1(CC)C(=O)NC(=O)NC1=O;-3.71;201;202;125-40-6;;logcm/h;isoSMILES_from_CAS
CCC(CO)c1ccccc1;-1.19;202;203;2035-94-1;;logcm/h;isoSMILES_from_CAS
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O;-3.09185;145;146;52-31-3;;logcm/h;isoSMILES_from_CAS
CCC1(CC)C(=O)NC(=O)NC1=O;-3.93217;76;77;57-44-3;;logcm/h;isoSMILES_from_CAS
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O;-2.62002;88;89;57-43-2;;logcm/h;isoSMILES_from_CAS
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O;-3.32228;75;76;50-06-6;;logcm/h;isoSMILES_from_CAS
CCCC(=O)O;-2.9801;106;107;107-92-6;;logcm/h;isoSMILES_from_CAS
CCCC(C)(O)c1ccccc1;-0.97;205;206;4383-18-0;;logcm/h;isoSMILES_from_CAS
CCCC(C)=O;-2.6;204;205;107-87-9;;logcm/h;isoSMILES_from_CAS
CCCCC(=O)O;-2.67321;105;106;109-52-4;;logcm/h;isoSMILES_from_CAS
CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C;-2.94185;146;147;2152-44-5;;logcm/h;isoSMILES_from_CAS
CCCCC(C)(O)c1ccccc1;-1.01;207;208;4396-98-9;;logcm/h;isoSMILES_from_CAS
CCCCC(C)=O;-2.35;206;207;591-78-6;;logcm/h;isoSMILES_from_CAS
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC;-1.25784;23;24;117-81-7;;logcm/h;isoSMILES_from_CAS
CCCCC1(CC)C(=O)NC(=O)NC1=O;-3.69886;74;75;77-28-1;;logcm/h;isoSMILES_from_CAS
CCCCCC(=O)O;-1.86324;118;119;142-62-1;;logcm/h;isoSMILES_from_CAS
CCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;-1.74618;129;130;3593-96-2;;logcm/h;isoSMILES_from_CAS
CCCCCC(C)=O;-2.0;208;209;110-43-0;;logcm/h;isoSMILES_from_CAS
CCCCCCC(=O)O;-1.70082;137;138;111-14-8;;logcm/h;isoSMILES_from_CAS
CCCCCCCC(=O)O;-1.60043;119;120;124-07-2;;logcm/h;isoSMILES_from_CAS
CCCCCCCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;-1.2094;159;160;6678-14-4;;logcm/h;isoSMILES_from_CAS
CCCCCCCCCCCCOS(=O)(=O)O;-2.54;209;210;8012-56-4;;logcm/h;noisoSMILES_from_CAS
CCCCCCCCCO;-1.19655;67;68;143-08-8;;logcm/h;isoSMILES_from_CAS
CCCCCCCCN1CCCC1=O;-1.27185;148;149;2687-94-7;;logcm/h;isoSMILES_from_CAS
CCCCCCCCO;-1.22676;55;56;111-87-5;;logcm/h;isoSMILES_from_CAS
CCCCCCCCOC(=O)c1ccc(O)cc1;-1.93432;99;100;1219-38-1;;logcm/h;isoSMILES_from_CAS
CCCCCCCO;-1.47443;71;72;111-70-6;;logcm/h;isoSMILES_from_CAS
CCCCCCN1CCCC1=O;-1.65185;149;150;4838-65-7;;logcm/h;isoSMILES_from_CAS
CCCCCCO;-1.79932;50;51;111-27-3;;logcm/h;isoSMILES_from_CAS
