ID;orig_ID;SMILES;y;CAS;NAME;UNITS;smiles_source
0;0;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;1;;CHEMBL17157;classNavinh;SMILES
1;1;Cc1ccc(C(=O)NC(=N)NCCc2ccccc2)cc1;1;;CHEMBL107354;classNavinh;SMILES
2;2;N#Cc1cc(C(F)(F)F)ccc1N1CCOc2c1ccc(S(=O)(=O)Nc1nccs1)c2F;1;;CHEMBL3919149;classNavinh;SMILES
3;3;N#Cc1cc(C(F)(F)F)ccc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)c(Cl)cc21;1;;CHEMBL3907025;classNavinh;SMILES
4;4;Cc1cccc(C)c1OCC(C)N;0;;CHEMBL558;classNavinh;SMILES
5;5;CC(C)(C)c1ccc(-c2ccc(C(=O)N3CCN(C4CCCCC4)CC3)o2)cc1;1;;CHEMBL486495;classNavinh;SMILES
6;6;COc1ccccc1SC[C@@H](C)CN[C@@H]1COc2ccccc2SC1;1;;CHEMBL511058;classNavinh;SMILES
7;14;COc1ccccc1SC[C@@H](C)CN[C@@H]1COc2ccccc2SC1;1;;CHEMBL511058;classNavinh;SMILES
8;17;Cn1cc(-c2ccc(C(F)(F)F)cc2)c2ccc(C(=O)NS(=O)(=O)c3cccs3)cc21;1;;CHEMBL4555930;classNavinh;SMILES
9;19;CS(=O)(=O)NC(=O)c1cnc(OCC23CC4CC(CC(C4)C2)C3)c(C2CC2)c1;1;;CHEMBL3657834;classNavinh;SMILES
10;21;COc1cc2nnc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1N1CCN(CCO)CC1;0;;CHEMBL2409407;classNavinh;SMILES
11;22;COc1cc2nnc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1N1CCC(N(C)C)CC1;0;;CHEMBL2409400;classNavinh;SMILES
12;26;N=C(NCCCCc1ccccc1)NC(=O)c1cccs1;1;;CHEMBL108361;classNavinh;SMILES
13;27;CC(C)COc1ncc(-c2ccc(C(=O)NS(C)(=O)=O)cc2C#N)cc1Cl;0;;CHEMBL4467379;classNavinh;SMILES
14;28;CSc1ccc([C@H]2N=C(OCc3ccc(NS(C)(=O)=O)cc3)N(C)Cc3ccccc32)cc1.Cl;0;;CHEMBL2093896;classNavinh;SMILES
15;29;COc1ccc(C#N)c(N2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)c1;1;;CHEMBL3933849;classNavinh;SMILES
16;30;O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCCN2c1ccc(Cl)cc1OC(F)F;1;;CHEMBL3948159;classNavinh;SMILES
