ID;orig_ID;SMILES;Molecule ChEMBL ID;y;smiles_source;experimental_column;UNITS
0;0;CCCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C.Cl;CHEMBL2447962;0;SMILES;y;classhERGinh
1;1;CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1;CHEMBL473;1;SMILES;y;classhERGinh
2;2;Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2;CHEMBL85;1;SMILES;y;classhERGinh
3;3;COc1cc(-c2cn(Cc3cccc(OC(F)(F)F)c3)nn2)ccc1-n1cnc(C)c1;CHEMBL1818825;1;SMILES;y;classhERGinh
4;5;CC(=O)OCC(=O)NC1CCN(Cc2ccc(Oc3nc4ccccc4s3)cc2)CC1;CHEMBL479382;0;SMILES;y;classhERGinh
5;10;N#Cc1ccc2ccc(=O)n(CCN3CC[C@H](NCc4cc5c(cn4)OCCO5)[C@H](O)C3)c2c1;CHEMBL2164740;0;SMILES;y;classhERGinh
6;11;N#Cc1ccc2ccc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1;CHEMBL2165062;0;SMILES;y;classhERGinh
7;12;Cc1cc(OCCN2CCN(C)CC2)nn1-c1ccc(Cl)c(Cl)c1;CHEMBL2170231;1;SMILES;y;classhERGinh
8;14;N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)c3ccnc4ccccc34)CC1)C2;CHEMBL85606;1;SMILES;y;classhERGinh
9;18;Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccccc3C(F)(F)F)C2)n1C;CHEMBL1080189;1;SMILES;y;classhERGinh
10;19;CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1;CHEMBL17157;0;SMILES;y;classhERGinh
11;20;CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1;CHEMBL42;1;SMILES;y;classhERGinh
12;21;Cc1ccc2[nH]c(C(=O)N[C@@H]3Cc4ccccc4[C@H]3NC(=O)CCN(C)C)cc2c1;CHEMBL4163811;1;SMILES;y;classhERGinh
13;22;Cc1nc(N2CCCC2)nc2ccc(NC(=O)COc3ccc(Cl)cc3)cc12;CHEMBL216228;1;SMILES;y;classhERGinh
14;23;O=C(NC1CCN(Cc2ccc3cc[nH]c3c2)CC1)c1cc(=O)c2ccc(F)cc2o1;CHEMBL274168;1;SMILES;y;classhERGinh
15;24;Cn1c(=O)ccc2ccc(CN3CCC(NC(=O)c4cc(=O)c5ccc(F)cc5o4)CC3)cc21;CHEMBL266725;0;SMILES;y;classhERGinh
16;25;O=C(NC1CCN(Cc2ccc3ccc(=O)oc3c2)CC1)c1cc(=O)c2ccc(F)cc2o1;CHEMBL386281;0;SMILES;y;classhERGinh
17;26;CC(=O)Nc1ccc2c(c1)C(N1CCC(NC(=O)c3cc(=O)c4ccc(F)cc4o3)CC1)CC2;CHEMBL215661;0;SMILES;y;classhERGinh
18;27;CN(C)Cc1ccc2c(c1)CC[C@H](N(C)C(=O)c1ccc(-c3ccc(Cl)cc3)nc1)C2;CHEMBL217820;1;SMILES;y;classhERGinh
19;28;CN(C)Cc1ccc2c(c1)CC[C@H](N(C)C(=O)c1ccc(-c3ccccn3)cc1)C2;CHEMBL267320;0;SMILES;y;classhERGinh
20;29;CCN(CC)Cc1ccc2c(c1)CC[C@H](N1CCN(CCc3ccc(Cl)cc3)CC1=O)C2;CHEMBL384400;1;SMILES;y;classhERGinh
21;30;O=C1CN(CCc2ccc(F)cc2)CCN1[C@H]1CCc2cc(CN3CCC(C(F)(F)F)CC3)ccc2C1;CHEMBL216486;1;SMILES;y;classhERGinh
