ID;orig_ID;SMILES;y_original;CAS;NAME;orig_UNITS;smiles_source;y;UNITS
13201;CHEMBL313726;BrC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2;4.0;;;ug.mL-1;Smiles;18593.062928221483;nM
19595;CHEMBL4130039;BrCCCCCCCCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12;4.0;;;ug.mL-1;Smiles;8007.719441541645;nM
33723;CHEMBL4127067;BrCCCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12;4.0;;;ug.mL-1;Smiles;9315.692516937092;nM
32737;CHEMBL4128115;BrCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12;4.0;;;ug.mL-1;Smiles;9966.885024506075;nM
24471;CHEMBL87532;BrCCc1c[nH]c2ccccc12;2.0;;;ug.mL-1;Smiles;8924.547413889271;nM
3002;CHEMBL564198;Brc1c(-c2ccccc2)nc2sc(Cc3noc4ccccc34)nn12;3.0;;;ug.mL-1;Smiles;7294.229777963643;nM
9167;CHEMBL2151450;Brc1cc(-c2nnc(-c3cc(Br)c(Br)[nH]3)o2)[nH]c1Br;1.56;;;ug.mL-1;Smiles;3024.516028965557;nM
7953;CHEMBL2151451;Brc1cc(-c2nnc(-c3ccccc3)o2)[nH]c1Br;12.5;;;ug.mL-1;Smiles;33873.86996769787;nM
20115;CHEMBL2151453;Brc1cc(-c2nnc(-c3ccncc3)o2)[nH]c1Br;12.5;;;ug.mL-1;Smiles;33783.41855763721;nM
13033;CHEMBL2151454;Brc1cc(-c2nnc(/C=C/C3=COc4ccccc4C3)o2)[nH]c1Br;12.5;;;ug.mL-1;Smiles;27833.32071556127;nM
18426;CHEMBL2151446;Brc1cc(-c2nnc(/C=C/c3ccccc3)o2)[nH]c1Br;12.5;;;ug.mL-1;Smiles;31641.243981835392;nM
13926;CHEMBL2151458;Brc1cc(-c2nnc(Sc3ccccc3)o2)[nH]c1Br;6.25;;;ug.mL-1;Smiles;15582.809543161888;nM
19909;CHEMBL4203684;Brc1cc(Br)c[n+](CCc2c[nH]c3ccccc23)c1;100.0;;;ug.mL-1;Smiles;262404.5175561742;nM
11356;CHEMBL3589310;Brc1cc2c(cc1C1CC(c3cccs3)=NN1c1nc(-c3ccccc3)cs1)OCO2;125.0;;;ug.mL-1;Smiles;244887.72387635708;nM
23202;CHEMBL564251;Brc1ccc(-c2cn3nc(Cc4noc5ccccc45)sc3n2)cc1;2.0;;;ug.mL-1;Smiles;4862.819851975763;nM
20002;CHEMBL1076869;Brc1ccc(-c2csc(N/N=C/c3ccccc3)n2)cc1;12.5;;;ug.mL-1;Smiles;34890.47183082866;nM
2189;CHEMBL1087403;Brc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1;12.5;;;ug.mL-1;Smiles;35685.22774312344;nM
5182;CHEMBL4088061;Brc1ccc(-c2nc(-c3cc4ccccc4nc3N3CCOCC3)no2)cc1;1115000.0;;;nM;Smiles;1115000.0;nM
[32674, 30146];CHEMBL3417871;Brc1ccc(-c2nc3sc(-c4ccccc4Br)nn3c2/C=N/C2CCCCC2)cc1;50.0;;;ug.mL-1;Smiles;91858.405778996;nM
13938;CHEMBL556285;Brc1ccc(-c2nc3sc(Cc4noc5ccccc45)nn3c2Br)cc1;2.5;;;ug.mL-1;Smiles;5100.167285486963;nM
15076;CHEMBL2024474;Brc1ccc(/C(Cn2nnc3ccccc32)=N\Nc2nc(-c3ccc(Br)cc3)cs2)cc1;32.0;;;ug.mL-1;Smiles;56308.48604077437;nM
22425;CHEMBL1808784;Brc1ccc(/N=N/c2c[nH]c3ccccc23)cc1;25000.0;;;nM;Smiles;25000.0;nM
2035;CHEMBL1668192;Brc1ccc(CNC2CCCCC2NCc2ccc(Br)cc2)cc1;0.125;;;ug.mL-1;Smiles;276.40557764343237;nM
6383;CHEMBL1668207;Brc1ccc(CN[C@H]2CCCC[C@@H]2NCc2ccc(Br)cc2)cc1;0.065;;;ug.mL-1;Smiles;143.73090037458482;nM
6184;CHEMBL400425;Brc1ccc(COC(Cn2cnc3ccccc32)c2ccccc2)cc1;25.0;;;ug.mL-1;Smiles;61378.160668383614;nM
20715;CHEMBL2441324;Brc1ccc(COc2ccc(C(C3CC3)n3ccnc3)cc2)cc1;1.56;;;ug.mL-1;Smiles;4070.0359258940375;nM
27734;CHEMBL2441872;Brc1ccc(CSc2cc3ccccc3[n+](CCCCCC3CCCCC3)c2)cc1;1.3;;;ug.mL-1;Smiles;2688.51116455963;nM
12453;CHEMBL398056;Brc1ccc(Cc2nc3ccccc3o2)cc1;43651.58;;;nM;Smiles;43651.58;nM
27042;CHEMBL407794;Brc1ccc(NCc2ccco2)cc1;62.5;;;ug.mL-1;Smiles;247906.67602762277;nM
14886;CHEMBL3237078;Brc1ccc(Nc2ncnc3c2cnn3-c2ccccc2)cc1;2800000.0;;;nM;Smiles;2800000.0;nM
16695;CHEMBL1773629;Brc1ccc(Sc2cc3ccccc3[n+](CCCCCc3ccccc3)c2)cc1;20.0;;;ug.mL-1;Smiles;43153.29777501594;nM
3978;CHEMBL2235117;Brc1ccc2[nH]c(-c3cc4ccccc4n4nnnc34)nc2c1;1000.0;;;ug.mL-1;Smiles;2738270.6178086163;nM
9806;CHEMBL573876;Brc1ccc2[nH]c(/C=C/c3ccc4c(c3)OCO4)nc2c1;31.25;;;ug.mL-1;Smiles;91060.08508654348;nM
15641;CHEMBL574339;Brc1ccc2[nH]c(/C=C/c3ccccc3)nc2c1;8.0;;;ug.mL-1;Smiles;26740.559746766896;nM
32579;CHEMBL5093244;Brc1ccc2cc(C3=NC(Cn4cncn4)(c4ccccc4)CO3)sc2c1;0.06;;;ug.mL-1;Smiles;136.56911079851955;nM
19604;CHEMBL4128803;Brc1ccc2oc(C3=Nc4ccccc4SC(c4cccc5ccccc45)C3)cc2c1;25.0;;;ug.mL-1;Smiles;51608.3217386637;nM
2946;CHEMBL4759852;Brc1cccc(-n2cc(COc3ccc4c(c3)CCC4)nn2)c1;100.0;;;ug.mL-1;Smiles;270087.7785280215;nM
16008;CHEMBL1668191;Brc1cccc(CNC2CCCCC2NCc2cccc(Br)c2)c1;0.125;;;ug.mL-1;Smiles;276.40557764343237;nM
3852;CHEMBL1668206;Brc1cccc(CN[C@H]2CCCC[C@@H]2NCc2cccc(Br)c2)c1;0.125;;;ug.mL-1;Smiles;276.40557764343237;nM
26925;CHEMBL2441871;Brc1cccc(CSc2cc3ccccc3[n+](CCCCCC3CCCCC3)c2)c1;5.0;;;ug.mL-1;Smiles;10340.427555998576;nM
10863;CHEMBL1773628;Brc1cccc(Sc2cc3ccccc3[n+](CCCCCc3ccccc3)c2)c1;20.0;;;ug.mL-1;Smiles;43153.29777501594;nM
763;CHEMBL4566321;Brc1ccccc1-c1nnc2sc(-c3ccccc3)nn12;3.125;;;ug.mL-1;Smiles;8747.718594990425;nM
24940;CHEMBL4764281;Brc1ccccc1-n1cc(COc2ccc3c(c2)CCC3)nn1;130.0;;;ug.mL-1;Smiles;351114.1120864279;nM
27735;CHEMBL2441870;Brc1ccccc1CSc1cc2ccccc2[n+](CCCCCC2CCCCC2)c1;10.0;;;ug.mL-1;Smiles;20680.855111997153;nM
13257;CHEMBL1773638;Brc1ccccc1Sc1cc2ccccc2[n+](CCCCCC2CCCCC2)c1;2.5;;;ug.mL-1;Smiles;5324.677537528322;nM
3197;CHEMBL1773627;Brc1ccccc1Sc1cc2ccccc2[n+](CCCCCc2ccccc2)c1;20.0;;;ug.mL-1;Smiles;43153.29777501594;nM
[770, 132];CHEMBL147602;C#CC#CC#C/C=C/C=C/C(C)O;1.5;;;ug.mL-1;Smiles;8812.591430636096;nM
9408;CHEMBL148000;C#CC#CC#CC#C/C=C/C(O)CCCCC(=O)O;0.05;;;ug.mL-1;Smiles;196.62976581394898;nM
3045;CHEMBL358752;C#CC#CC#CC#C/C=C/C=C/C(C)O;1.5;;;ug.mL-1;Smiles;7722.683581059862;nM
22204;CHEMBL2093005;C#CC#CC#CC#C/C=C/C=C/[C@@H](C)O;0.8;;;ug.mL-1;Smiles;4118.76457656526;nM
24068;CHEMBL1788253;C#CC#CC#CC#C/C=C/C=C/[C@H](C)O;1.5;;;ug.mL-1;Smiles;7722.683581059862;nM
[20778, 20342];CHEMBL147686;C#CC#CC#CC#CC(O)/C=C/C=C/C;3.1;;;ug.mL-1;Smiles;15960.212734190382;nM
25067;CHEMBL440351;C#CC#CC#CC#CC1(O)CCCCC1;6.2;;;ug.mL-1;Smiles;31592.517668879857;nM
7151;CHEMBL470465;C#CC(O)/C=C/CCCCCC#CC/C=C\CCCCCCCCCCC/C=C\C#CC(=O)O;54000.0;;CORTICATIC ACID A;nM;Smiles;54000.0;nM
12497;CHEMBL421189;C#CCCN1C[C@H](O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)[C@@]34C(=O)O)O[C@H](C)C1;4.0;;;ug.mL-1;Smiles;7787.024869810673;nM
27821;CHEMBL4534274;C#CCN(C)c1nc(NCCCCC2CCN(Cc3ccccc3)CC2)c(C#N)c(-c2ccccc2)c1C#N;32.0;;;ug.mL-1;Smiles;61932.327320091405;nM
12745;CHEMBL1957729;C#CCN1C(=O)C2(C3=C(CN2C)C(=O)c2ccccc2C3=O)c2ccccc21;250.0;;;ug.mL-1;Smiles;678624.9429955046;nM
32970;CHEMBL4593827;C#CCN1C(=O)C2(c3ccccc31)c1c(c3ccccc3oc1=O)Oc1c2c(=O)oc2ccccc12;250000.0;;;nM;Smiles;250000.0;nM
18088;CHEMBL3360426;C#CCN1C(=O)[C@]2(c3ccccc31)[C@H](c1cn(-c3ccccc3)nc1-c1ccccc1)[C@@](C#N)(C(=O)c1c[nH]c3ccccc13)CN2C;125.0;;;ug.mL-1;Smiles;199451.1105437835;nM
[27218, 31422];CHEMBL4756751;C#CCN1CCN(c2cc3c(cc2F)c(=O)c(-c2csc(N)n2)cn3CC)CC1;19000.0;;;nM;Smiles;19000.0;nM
6743;CHEMBL4573534;C#CCNc1nc(Cl)c(C#N)cc1C#N;32.0;;;ug.mL-1;Smiles;147716.6241212015;nM
9120;CHEMBL401669;C#CCOC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C;128.0;;;ug.mL-1;Smiles;297239.61925462505;nM
30919;CHEMBL4761569;C#CCOCCCCCN(CC[N+]12CC[N+](CCCCCCCCCCCC)(CC1)CC2)CC[N+]12CC[N+](CCCCCCCCCCCC)(CC1)CC2;25.0;;;ug.mL-1;Smiles;32967.52566851551;nM
[29473, 27947];CHEMBL4168728;C#CCOc1c(OC)cc(/C=N/NC(N)=S)c2c1CN1CCc3cc4c(cc3C1C2)OCO4;140000.0;;;nM;Smiles;140000.0;nM
